Symbol,Close,Volume Mean
OMER,3.5,905120
AEHL,2.71,134920
TOVX,0.43,162940
MSW,4.875,82020
CTKB,3.33,1500540
CREV,3.159,1724820
SKK,0.689,129560
QUIK,6.17,245940
