Symbol,Close,Volume Mean
NN,13.0,1306820
AUID,6.32,174980
QNTM,8.38,491340
AMBI,5.5,30500
TIGR,9.1,7570520
OMER,8.92,550720
LAZR,6.15,8124140
CORZ,7.88,20233720
