Symbol,Close,Volume Mean
SERV,9.6,7454680
BTDR,14.75,6099880
MTEN,13.2,59900
FULC,6.25,806260
ARQ,4.57,303700
ALT,5.59,1910040
WCT,0.298,1023220
APT,4.4,66300
