Symbol,Close,Volume Mean
SMR,51.03,13980660
QS,12.63,105524300
TELO,2.29,29824080
LCFY,6.4,1733540
XPON,1.42,11652600
ICU,0.779,9571720
RVPH,0.43,2359900
JMIA,4.9,3300340
