Symbol,Close,Volume Mean
BTCS,4.75,15140260
GSIT,4.98,365260
CIFR,5.97,40532980
BTBT,3.29,59601440
ORGO,4.03,1112680
NUVB,2.13,7086820
SLDP,3.18,9911980
WLGS,0.042,119808060
