Symbol,Close,Volume Mean
CYCC,15.39,1790940
TOI,3.77,1789860
AMPX,8.29,8063580
ACHV,2.69,693100
MGX,2.515,1104240
CRMD,11.98,3118560
IOBT,2.4,839220
LFWD,0.809,313360
