Symbol,Close,Volume Mean
CNVS,6.49,306920
LGHL,3.91,586620
ELAB,2.29,383940
RMTI,1.09,442640
CGTX,0.68,8451420
PLRX,1.42,1091020
ADIL,0.45,1920940
VRCA,0.855,352040
