Symbol,Close,Volume Mean,0.5%
ENGS,1.05,468580,2460.045
CMPS,6.53,783220,25572.133
ALEC,1.45,1381460,10015.585000000001
DH,2.53,1055160,13347.774
DDD,1.84,4004340,36839.92800000001
GERN,1.35,8425560,56872.53
TSE,0.483,1166620,2817.3873
SABR,1.5,7443560,55826.700000000004
