Symbol,Close,Volume Mean,0.5%
ASST,10.02,2992300,149914.23
SFIX,3.31,2563900,42432.545
TGEN,2.56,369880,4734.464
TRON,2.27,2451120,27820.212000000003
TLS,4.19,717740,15036.653
ORBS,0.932,41022880,191166.62080000003
ABSI,3.0,4470060,67050.9
EXFY,0.87,838080,3645.648
