Symbol,Close,Volume Mean
CYCC,8.23,13776060
HOLO,5.88,13923600
FTFT,2.49,20678680
WIMI,3.69,468960
SUGP,1.09,2289460
MBRX,0.836,5690820
REAL,5.64,2405320
MYO,2.05,674820
