Symbol,Close,Volume Mean
LIXT,4.25,366180
RAY,2.51,2087680
SVRE,2.79,2975780
HOLO,5.47,2784200
TOI,3.54,2677720
JDZG,2.86,397940
LCID,3.13,363210820
BTCM,3.55,1716560
