Symbol,Close,Volume Mean
AMLX,8.34,1765400
CMPS,4.3,2479780
ELAB,2.36,403780
PLRX,1.43,1208960
BIAF,0.357,4629400
NCNA,0.048,99330100
RVSN,0.351,410400
