Symbol,Close,Volume Mean,0.5%
STTK,2.14,502080,5372.26
CIIT,1.02,813400,4148.34
ABSI,2.70,6438960,86925.96
ABCL,4.77,3904100,93112.79
AUR,6.06,15620280,473294.48
