Symbol,Close,Volume Mean,0.5%
ELAB,1.75,347160,3037.65
HCHL,3.56,1250020,22250.356
GRCE,2.36,307520,3628.736
ARBE,1.15,3153700,18133.774999999998
MNKD,3.53,4206320,74241.548
XTIA,1.89,1266200,11965.59
MAIA,1.33,446300,2967.895
PRSO,1.08,715380,3863.052
