Symbol,Close,Volume Mean
POET,6.1,2811600
RAYA,2.46,804540
NUVB,2.37,6578500
WLGS,0.046,49350260
IXHL,0.221,41103040
HYLN,1.51,788700
CMPX,2.74,605720
REAX,4.24,752000
