Symbol,Close,Volume Mean,0.5%
SATL,7.05,18029580,635542.6950000001
RBNE,2.11,3219100,33961.505
REAL,9.4,3651520,171621.44
ATPC,3.19,517220,8249.659
LRHC,0.58,419960,1217.884
IRWD,3.53,2183840,38544.776
TRVI,12.81,1287320,82452.846
JCSE,1.31,8057900,52779.245
