Symbol,Close,Volume Mean
CYCC,3.36,1217461
SNPX,8.2,416589
HOLO,5.2,1259340
ETON,15.8,489360
MOGO,1.96,56968960
WIMI,3.17,305360
IPDN,2.33,400240
BON,1.57,4147280
