Symbol,Close,Volume Mean
DDD,1.77,2856340
LGHL,3.04,582640
NAAS,0.839,301880
SISI,0.172,1588860
BIAF,0.335,1964720
RVSN,0.363,556520
CYH,3.52,1617280
