Symbol,Close,Volume Mean,0.5%
CHOW,0.433,312420,676.3892999999999
IMMX,5.95,811600,24145.100000000002
PYXS,1.54,788140,6068.678000000001
CNTX,2.26,2123080,23990.804
TPST,2.23,323920,3611.708
YCBD,0.944,5635240,26598.3328
ADV,0.733,1135840,4162.8536
FGL,0.135,2621400,1769.445
