Symbol,Close,Volume Mean
RCAT,9.56,12430920
HUYA,3.64,6090860
UAMY,3.73,6965960
MPU,2.63,1146440
CMPX,3.33,839160
POWW,1.34,430000
BTBT,3.36,57058760
LPTX,0.357,336160
