Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,Date
RNECY,Renesas Electronics Corporation,8.21,0.06,0.74,442377,161585,29402000000,2024-02-06T06:17:40.666659
MZDAY,Mazda Motor Corporation,6.15,0.13,2.16,125031,127413,7773000000,2024-02-06T06:17:40.666659
UGP,Ultrapar Participações S.A.,5.65,0.07,1.25,946215,1384000,6336000000,2024-02-06T06:17:40.666659
MAKSY,Marks and Spencer Group plc,5.95,-0.13,-2.14,9405,37855,5917000000,2024-02-06T06:17:40.666659
AUR,"Aurora Innovation, Inc.",3.02,-0.13,-4.13,3199000,6604000,4590000000,2024-02-06T06:17:40.666659
HMY,Harmony Gold Mining Company Limited,6.17,-0.22,-3.44,3562000,4933000,3867000000,2024-02-06T06:17:40.666659
UEC,Uranium Energy Corp.,7.98,-0.16,-1.97,6934000,8327000,3136000000,2024-02-06T06:17:40.666659
YLLXF,Yellow Cake plc,9.55,-0.03,-0.3,17442,22292,2071000000,2024-02-06T06:17:40.666659
IONQ,"IonQ, Inc.",9.87,-0.4,-3.89,5556000,7487000,2020000000,2024-02-06T06:17:40.666659
DNN,Denison Mines Corp.,2.08,-0.03,-1.42,16445000,12088000,1826000000,2024-02-06T06:17:40.666659
CLBT,Cellebrite DI Ltd.,9.2,-0.01,-0.11,290416,914043,1816000000,2024-02-06T06:17:40.666659
BQSSF,Boss Energy Limited,3.85,-0.1,-2.53,27163,49196,1600000000,2024-02-06T06:17:40.666659
VTEX,VTEX,7.82,-0.22,-2.74,580349,409803,1469000000,2024-02-06T06:17:40.666659
AVPT,"AvePoint, Inc.",7.84,-0.12,-1.51,641004,779215,1440000000,2024-02-06T06:17:40.666659
MDXG,"MiMedx Group, Inc.",7.68,-0.09,-1.16,441804,668566,1124000000,2024-02-06T06:17:40.666659
AUTL,Autolus Therapeutics plc,6.24,0.21,3.48,616521,1254000,1086000000,2024-02-06T06:17:40.666659
DYLLF,Deep Yellow Limited,1.06,-0.01,-0.93,142240,221896,836729000,2024-02-06T06:17:40.666659
TK,Teekay Corporation,8.5,-0.26,-2.97,744302,616048,773069000,2024-02-06T06:17:40.666659
BITF,Bitfarms Ltd.,2.13,-0.11,-4.91,10502000,28522000,688088000,2024-02-06T06:17:40.666659
CIFR,Cipher Mining Inc.,2.45,-0.23,-8.58,4778000,8274000,629792000,2024-02-06T06:17:40.666659
SNWGF,Snowline Gold Corp.,4.09,-0.21,-4.88,57776,66042,592531000,2024-02-06T06:17:40.666659
REAX,The Real Brokerage Inc.,2.88,-0.02,-0.69,241085,249303,523584000,2024-02-06T06:17:40.666659
QD,Qudian Inc.,2.19,0.02,0.92,1620000,792085,492529000,2024-02-06T06:17:40.666659
NKTX,"Nkarta, Inc.",9.12,-0.54,-5.59,841831,2047000,447539000,2024-02-06T06:17:40.666659
CATX,"Perspective Therapeutics, Inc.",0.8607,0.0107,1.26,1531000,1397000,425698000,2024-02-06T06:17:40.666659
TALK,"Talkspace, Inc.",2.38,-0.07,-2.86,398157,962101,397686000,2024-02-06T06:17:40.666659
PANL,"Pangaea Logistics Solutions, Ltd.",8.44,-0.76,-8.26,597394,309886,392178000,2024-02-06T06:17:40.666659
BNNLF,Bannerman Energy Ltd,2.36,0.0,0.0,30596,61610,369798000,2024-02-06T06:17:40.666659
DAKT,"Daktronics, Inc.",7.52,-0.17,-2.21,521206,655243,347275000,2024-02-06T06:17:40.666659
JFIN,Jiayin Group Inc.,5.13,-0.15,-2.84,89361,65208,275405000,2024-02-06T06:17:40.666659
