screener,count
Loosers 1,50
Loosers 10,0
Loosers 100,0
Loosers 30,2
Loosers 5,3
Loosers 50,0
Loosers 70,0
Random 1,16
Random 10,4
Random 100,0
Random 120,0
Random 30,6
Random 5,13
Random 50,1
Random 70,0
Winners 1,63
Winners 10,2
Winners 100,0
Winners 30,3
Winners 5,6
Winners 50,2
Winners 70,0
