date,close,volume,symbol,sector
2023-10-19,76.22,9233100,XLB,Basic Materials
2023-10-20,75.30,7161200,XLB,Basic Materials
2023-10-23,74.46,9138000,XLB,Basic Materials
2023-10-24,75.34,7424200,XLB,Basic Materials
2023-10-25,74.46,6270000,XLB,Basic Materials
2023-10-26,74.98,8776700,XLB,Basic Materials
2023-10-27,74.95,8236600,XLB,Basic Materials
2023-10-30,75.72,5977100,XLB,Basic Materials
2023-10-31,76.06,5581300,XLB,Basic Materials
2023-11-01,76.10,8780500,XLB,Basic Materials
2023-11-02,77.57,6550600,XLB,Basic Materials
2023-11-03,78.79,6064800,XLB,Basic Materials
2023-11-06,78.40,4668800,XLB,Basic Materials
2023-11-07,76.88,7508000,XLB,Basic Materials
2023-11-08,77.12,5470800,XLB,Basic Materials
2023-11-09,76.46,6939000,XLB,Basic Materials
2023-11-10,77.36,3624100,XLB,Basic Materials
2023-11-13,77.25,4039700,XLB,Basic Materials
2023-11-14,79.53,5497900,XLB,Basic Materials
2023-11-15,79.88,4909900,XLB,Basic Materials
2023-11-16,80.12,3582800,XLB,Basic Materials
2023-11-17,80.27,3445000,XLB,Basic Materials
2023-11-20,80.41,4817300,XLB,Basic Materials
2023-11-21,80.72,3681500,XLB,Basic Materials
2023-11-22,80.77,3761500,XLB,Basic Materials
2023-11-24,81.12,1844900,XLB,Basic Materials
2023-11-27,81.02,3262300,XLB,Basic Materials
2023-11-28,81.18,3498100,XLB,Basic Materials
2023-11-29,81.60,3122200,XLB,Basic Materials
2023-11-30,82.41,5741200,XLB,Basic Materials
2023-12-01,83.35,8391400,XLB,Basic Materials
2023-12-04,82.38,10615000,XLB,Basic Materials
2023-12-05,81.25,8766700,XLB,Basic Materials
2023-12-06,81.08,8455000,XLB,Basic Materials
2023-12-07,81.63,4279800,XLB,Basic Materials
2023-12-08,81.93,4122400,XLB,Basic Materials
2023-12-11,82.51,4602900,XLB,Basic Materials
2023-12-12,82.99,10217500,XLB,Basic Materials
2023-12-13,84.00,8196300,XLB,Basic Materials
2023-12-14,85.39,6356700,XLB,Basic Materials
2023-12-15,85.17,5405600,XLB,Basic Materials
2023-12-18,84.71,4026400,XLB,Basic Materials
2023-12-19,85.49,3642700,XLB,Basic Materials
2023-12-20,84.18,4679400,XLB,Basic Materials
2023-12-21,85.07,3772200,XLB,Basic Materials
2023-12-22,85.60,2693300,XLB,Basic Materials
2023-12-26,86.00,3365700,XLB,Basic Materials
2023-12-27,86.21,3409800,XLB,Basic Materials
2023-12-28,85.88,3607000,XLB,Basic Materials
2023-12-29,85.54,3496100,XLB,Basic Materials
2024-01-02,85.39,9962400,XLB,Basic Materials
2024-01-03,84.47,11679300,XLB,Basic Materials
2024-01-04,84.20,10212100,XLB,Basic Materials
2024-01-05,84.34,7346400,XLB,Basic Materials
2024-01-08,84.70,5183100,XLB,Basic Materials
2024-01-09,83.73,6455200,XLB,Basic Materials
2024-01-10,83.62,4101400,XLB,Basic Materials
2024-01-11,83.37,4271100,XLB,Basic Materials
2024-01-12,83.45,4133900,XLB,Basic Materials
2024-01-16,82.49,5276400,XLB,Basic Materials
2024-01-17,81.89,4643800,XLB,Basic Materials
2024-01-18,82.15,4660400,XLB,Basic Materials
2024-01-19,82.23,5780100,XLB,Basic Materials
2024-01-22,82.47,5392600,XLB,Basic Materials
2024-01-23,82.74,3945800,XLB,Basic Materials
2024-01-24,81.62,5158900,XLB,Basic Materials
2024-01-25,82.48,4867200,XLB,Basic Materials
2024-01-26,82.51,3899700,XLB,Basic Materials
2024-01-29,82.92,3562900,XLB,Basic Materials
2024-01-30,83.30,5425700,XLB,Basic Materials
2024-01-31,82.21,6739200,XLB,Basic Materials
2024-02-01,83.58,9896900,XLB,Basic Materials
2024-02-02,83.09,11460200,XLB,Basic Materials
2024-02-05,80.98,12443400,XLB,Basic Materials
2024-02-06,82.41,9526500,XLB,Basic Materials
2024-02-07,83.07,5410200,XLB,Basic Materials
2024-02-08,82.96,3399300,XLB,Basic Materials
2024-02-09,83.14,3818300,XLB,Basic Materials
2024-02-12,83.80,3398200,XLB,Basic Materials
2024-02-13,82.62,6432300,XLB,Basic Materials
2024-02-14,83.15,4381000,XLB,Basic Materials
2024-02-15,84.72,5992000,XLB,Basic Materials
2024-02-16,85.17,4656700,XLB,Basic Materials
2024-02-20,84.99,4509500,XLB,Basic Materials
2024-02-21,85.46,4061200,XLB,Basic Materials
2024-02-22,86.32,4724300,XLB,Basic Materials
2024-02-23,86.83,3539500,XLB,Basic Materials
2024-02-26,86.31,3326800,XLB,Basic Materials
2024-02-27,86.63,4127300,XLB,Basic Materials
2024-02-28,86.90,4497000,XLB,Basic Materials
2024-02-29,87.56,6123800,XLB,Basic Materials
2024-03-01,87.96,5200800,XLB,Basic Materials
2024-03-04,88.60,4674600,XLB,Basic Materials
2024-03-05,88.13,4246900,XLB,Basic Materials
2024-03-06,88.78,5112000,XLB,Basic Materials
2024-03-07,89.87,3971100,XLB,Basic Materials
2024-03-08,89.35,5155600,XLB,Basic Materials
2024-03-11,90.36,11635300,XLB,Basic Materials
2024-03-12,90.35,5074700,XLB,Basic Materials
2024-03-13,91.24,7264600,XLB,Basic Materials
2024-03-14,90.76,9726000,XLB,Basic Materials
2024-03-15,90.80,9348300,XLB,Basic Materials
2024-03-18,90.64,7621200,XLB,Basic Materials
2024-03-19,90.65,5416400,XLB,Basic Materials
2024-03-20,91.56,6626200,XLB,Basic Materials
2024-03-21,91.94,4692100,XLB,Basic Materials
2024-03-22,91.37,2937300,XLB,Basic Materials
2024-03-25,91.40,2831300,XLB,Basic Materials
2024-03-26,91.33,2717200,XLB,Basic Materials
2024-03-27,92.64,4222200,XLB,Basic Materials
2024-03-28,92.89,4512600,XLB,Basic Materials
2024-04-01,92.67,3823500,XLB,Basic Materials
2024-04-02,92.33,4785400,XLB,Basic Materials
2024-04-03,92.88,5011400,XLB,Basic Materials
2024-04-04,91.94,6329300,XLB,Basic Materials
2024-04-05,92.77,4902100,XLB,Basic Materials
2024-04-08,92.84,3261000,XLB,Basic Materials
2024-04-09,93.06,5675300,XLB,Basic Materials
2024-04-10,91.61,7056500,XLB,Basic Materials
2024-04-11,91.54,4950300,XLB,Basic Materials
2024-04-12,89.92,6056500,XLB,Basic Materials
2024-04-15,89.49,5753100,XLB,Basic Materials
2024-04-16,88.80,6777800,XLB,Basic Materials
2024-04-17,89.00,4578400,XLB,Basic Materials
2024-04-18,89.03,3748900,XLB,Basic Materials
2024-04-19,88.96,5054500,XLB,Basic Materials
2024-04-22,89.05,4142300,XLB,Basic Materials
2024-04-23,88.28,5735000,XLB,Basic Materials
2024-04-24,88.34,4776900,XLB,Basic Materials
2024-04-25,88.97,4610100,XLB,Basic Materials
2024-04-26,89.52,3137200,XLB,Basic Materials
2024-04-29,90.27,2838400,XLB,Basic Materials
2024-04-30,88.63,4935900,XLB,Basic Materials
2024-05-01,89.09,7728100,XLB,Basic Materials
2024-05-02,88.63,7783700,XLB,Basic Materials
2024-05-03,89.53,4499700,XLB,Basic Materials
2024-05-06,90.07,3307800,XLB,Basic Materials
2024-05-07,91.14,4431100,XLB,Basic Materials
2024-05-08,90.72,3261300,XLB,Basic Materials
2024-05-09,91.73,3535000,XLB,Basic Materials
2024-05-10,91.84,2736300,XLB,Basic Materials
2024-05-13,91.78,2515300,XLB,Basic Materials
2024-05-14,91.87,3740200,XLB,Basic Materials
2024-05-15,92.03,3961100,XLB,Basic Materials
2024-05-16,91.37,3622900,XLB,Basic Materials
2024-05-17,92.15,3628100,XLB,Basic Materials
2024-05-20,92.28,2272300,XLB,Basic Materials
2024-05-21,92.28,2712500,XLB,Basic Materials
2024-05-22,91.38,4351600,XLB,Basic Materials
2024-05-23,90.57,2844000,XLB,Basic Materials
2024-05-24,91.36,2299000,XLB,Basic Materials
2024-05-28,91.01,2111500,XLB,Basic Materials
2024-05-29,89.71,4072500,XLB,Basic Materials
2024-05-30,90.44,3299700,XLB,Basic Materials
2024-05-31,91.53,4101500,XLB,Basic Materials
2024-06-03,90.99,5950100,XLB,Basic Materials
2024-06-04,89.98,3389500,XLB,Basic Materials
2024-06-05,90.60,3410400,XLB,Basic Materials
2024-06-06,90.70,2119400,XLB,Basic Materials
2024-06-07,89.79,4179500,XLB,Basic Materials
2024-06-10,89.70,2611800,XLB,Basic Materials
2024-06-11,89.67,3228600,XLB,Basic Materials
2024-06-12,89.84,4087100,XLB,Basic Materials
2024-06-13,89.81,3968600,XLB,Basic Materials
2024-06-14,88.98,2847200,XLB,Basic Materials
2024-06-17,89.64,3815600,XLB,Basic Materials
2024-06-18,89.54,3436100,XLB,Basic Materials
2024-06-20,89.63,3220500,XLB,Basic Materials
2024-06-21,89.64,4104900,XLB,Basic Materials
2024-06-24,89.79,4032600,XLB,Basic Materials
2024-06-25,88.65,3646100,XLB,Basic Materials
2024-06-26,88.59,3237300,XLB,Basic Materials
2024-06-27,88.34,8139800,XLB,Basic Materials
2024-06-28,88.31,3875300,XLB,Basic Materials
2024-07-01,86.95,4323700,XLB,Basic Materials
2024-07-02,87.11,6558600,XLB,Basic Materials
2024-07-03,87.76,2295600,XLB,Basic Materials
2024-07-05,87.90,4423400,XLB,Basic Materials
2024-07-08,88.16,5248400,XLB,Basic Materials
2024-07-09,87.26,2975500,XLB,Basic Materials
2024-07-10,88.43,3957700,XLB,Basic Materials
2024-07-11,89.64,5957000,XLB,Basic Materials
2024-07-12,90.50,3998821,XLB,Basic Materials
2023-07-13,34.48,40453700,XLF,Financial Services
2023-07-14,34.25,47547500,XLF,Financial Services
2023-07-17,34.58,38568900,XLF,Financial Services
2023-07-18,34.97,47176500,XLF,Financial Services
2023-07-19,35.12,45599800,XLF,Financial Services
2023-07-20,35.38,45591500,XLF,Financial Services
2023-07-21,35.26,30609200,XLF,Financial Services
2023-07-24,35.60,32299800,XLF,Financial Services
2023-07-25,35.37,36218600,XLF,Financial Services
2023-07-26,35.58,35638700,XLF,Financial Services
2023-07-27,35.13,44072800,XLF,Financial Services
2023-07-28,35.20,32422700,XLF,Financial Services
2023-07-31,35.33,28627000,XLF,Financial Services
2023-08-01,35.33,26480300,XLF,Financial Services
2023-08-02,35.03,48923800,XLF,Financial Services
2023-08-03,35.05,31861600,XLF,Financial Services
2023-08-04,34.91,36191800,XLF,Financial Services
2023-08-07,35.40,33119300,XLF,Financial Services
2023-08-08,35.08,37254800,XLF,Financial Services
2023-08-09,34.82,38304200,XLF,Financial Services
2023-08-10,34.85,38097500,XLF,Financial Services
2023-08-11,34.92,27516100,XLF,Financial Services
2023-08-14,34.85,23773800,XLF,Financial Services
2023-08-15,34.21,57472100,XLF,Financial Services
2023-08-16,34.16,33566500,XLF,Financial Services
2023-08-17,33.99,38205400,XLF,Financial Services
2023-08-18,33.98,40858300,XLF,Financial Services
2023-08-21,33.94,32308300,XLF,Financial Services
2023-08-22,33.62,43148900,XLF,Financial Services
2023-08-23,33.95,30240500,XLF,Financial Services
2023-08-24,33.83,35784900,XLF,Financial Services
2023-08-25,33.99,40347200,XLF,Financial Services
2023-08-28,34.18,34905300,XLF,Financial Services
2023-08-29,34.49,43394300,XLF,Financial Services
2023-08-30,34.51,33799900,XLF,Financial Services
2023-08-31,34.38,27999700,XLF,Financial Services
2023-09-01,34.69,41069200,XLF,Financial Services
2023-09-05,34.34,38612300,XLF,Financial Services
2023-09-06,34.32,35672800,XLF,Financial Services
2023-09-07,34.23,47632600,XLF,Financial Services
2023-09-08,34.30,39720800,XLF,Financial Services
2023-09-11,34.46,28965100,XLF,Financial Services
2023-09-12,34.69,48615200,XLF,Financial Services
2023-09-13,34.69,31994900,XLF,Financial Services
2023-09-14,35.01,65685500,XLF,Financial Services
2023-09-15,34.83,51766400,XLF,Financial Services
2023-09-18,34.77,32458700,XLF,Financial Services
2023-09-19,34.73,36112900,XLF,Financial Services
2023-09-20,34.49,31618000,XLF,Financial Services
2023-09-21,33.92,48103300,XLF,Financial Services
2023-09-22,33.66,41688300,XLF,Financial Services
2023-09-25,33.74,40141700,XLF,Financial Services
2023-09-26,33.29,46165400,XLF,Financial Services
2023-09-27,33.24,49360900,XLF,Financial Services
2023-09-28,33.48,63638100,XLF,Financial Services
2023-09-29,33.17,52853400,XLF,Financial Services
2023-10-02,32.89,49350600,XLF,Financial Services
2023-10-03,32.37,52921800,XLF,Financial Services
2023-10-04,32.61,40136000,XLF,Financial Services
2023-10-05,32.76,41407800,XLF,Financial Services
2023-10-06,33.04,54048800,XLF,Financial Services
2023-10-09,33.06,61396600,XLF,Financial Services
2023-10-10,33.30,44743400,XLF,Financial Services
2023-10-11,33.35,35746400,XLF,Financial Services
2023-10-12,33.14,41991200,XLF,Financial Services
2023-10-13,33.21,53213800,XLF,Financial Services
2023-10-16,33.56,45589300,XLF,Financial Services
2023-10-17,33.72,41925200,XLF,Financial Services
2023-10-18,33.14,46942100,XLF,Financial Services
2023-10-19,32.70,66656200,XLF,Financial Services
2023-10-20,32.20,59901700,XLF,Financial Services
2023-10-23,32.00,55913700,XLF,Financial Services
2023-10-24,32.22,35825000,XLF,Financial Services
2023-10-25,32.10,59240100,XLF,Financial Services
2023-10-26,32.03,56046100,XLF,Financial Services
2023-10-27,31.45,73057300,XLF,Financial Services
2023-10-30,32.01,48978100,XLF,Financial Services
2023-10-31,32.36,41050100,XLF,Financial Services
2023-11-01,32.57,51764100,XLF,Financial Services
2023-11-02,33.34,47417000,XLF,Financial Services
2023-11-03,33.78,58794800,XLF,Financial Services
2023-11-06,33.68,40599700,XLF,Financial Services
2023-11-07,33.63,27442000,XLF,Financial Services
2023-11-08,33.67,30165800,XLF,Financial Services
2023-11-09,33.53,34336600,XLF,Financial Services
2023-11-10,33.91,35146100,XLF,Financial Services
2023-11-13,33.86,28327300,XLF,Financial Services
2023-11-14,34.50,54296300,XLF,Financial Services
2023-11-15,34.69,35000200,XLF,Financial Services
2023-11-16,34.83,33222500,XLF,Financial Services
2023-11-17,35.01,31336100,XLF,Financial Services
2023-11-20,35.15,37285400,XLF,Financial Services
2023-11-21,35.13,27285700,XLF,Financial Services
2023-11-22,35.27,32719200,XLF,Financial Services
2023-11-24,35.38,13168500,XLF,Financial Services
2023-11-27,35.26,35017000,XLF,Financial Services
2023-11-28,35.25,39329300,XLF,Financial Services
2023-11-29,35.50,36651300,XLF,Financial Services
2023-11-30,35.90,37334500,XLF,Financial Services
2023-12-01,36.17,51261600,XLF,Financial Services
2023-12-04,36.13,41366600,XLF,Financial Services
2023-12-05,35.95,39510900,XLF,Financial Services
2023-12-06,35.77,35616100,XLF,Financial Services
2023-12-07,35.94,26050900,XLF,Financial Services
2023-12-08,36.13,33210100,XLF,Financial Services
2023-12-11,36.35,31165700,XLF,Financial Services
2023-12-12,36.61,37245700,XLF,Financial Services
2023-12-13,37.20,56989000,XLF,Financial Services
2023-12-14,37.57,66865700,XLF,Financial Services
2023-12-15,37.35,69241700,XLF,Financial Services
2023-12-18,37.29,43434000,XLF,Financial Services
2023-12-19,37.57,32509000,XLF,Financial Services
2023-12-20,36.90,52985700,XLF,Financial Services
2023-12-21,37.26,27522200,XLF,Financial Services
2023-12-22,37.34,30327700,XLF,Financial Services
2023-12-26,37.49,17837600,XLF,Financial Services
2023-12-27,37.61,32640800,XLF,Financial Services
2023-12-28,37.72,25308000,XLF,Financial Services
2023-12-29,37.60,30211300,XLF,Financial Services
2024-01-02,37.76,31351900,XLF,Financial Services
2024-01-03,37.44,46909000,XLF,Financial Services
2024-01-04,37.59,36904200,XLF,Financial Services
2024-01-05,37.75,44845700,XLF,Financial Services
2024-01-08,37.99,39098300,XLF,Financial Services
2024-01-09,37.75,36338100,XLF,Financial Services
2024-01-10,37.81,37095500,XLF,Financial Services
2024-01-11,37.67,49043500,XLF,Financial Services
2024-01-12,37.60,41279800,XLF,Financial Services
2024-01-16,37.34,44042100,XLF,Financial Services
2024-01-17,37.27,38715900,XLF,Financial Services
2024-01-18,37.33,42064900,XLF,Financial Services
2024-01-19,37.93,59407900,XLF,Financial Services
2024-01-22,38.11,51828800,XLF,Financial Services
2024-01-23,38.17,46255500,XLF,Financial Services
2024-01-24,38.32,43975500,XLF,Financial Services
2024-01-25,38.51,50693800,XLF,Financial Services
2024-01-26,38.65,38620200,XLF,Financial Services
2024-01-29,38.75,44175600,XLF,Financial Services
2024-01-30,39.24,43229300,XLF,Financial Services
2024-01-31,38.76,65780900,XLF,Financial Services
2024-02-01,38.82,63445600,XLF,Financial Services
2024-02-02,38.98,61775600,XLF,Financial Services
2024-02-05,38.75,37351300,XLF,Financial Services
2024-02-06,38.83,41055700,XLF,Financial Services
2024-02-07,39.12,39018700,XLF,Financial Services
2024-02-08,38.97,47331500,XLF,Financial Services
2024-02-09,39.08,50680400,XLF,Financial Services
2024-02-12,39.26,39952700,XLF,Financial Services
2024-02-13,38.73,62948300,XLF,Financial Services
2024-02-14,39.10,58722500,XLF,Financial Services
2024-02-15,39.77,58107900,XLF,Financial Services
2024-02-16,39.63,37884500,XLF,Financial Services
2024-02-20,39.52,39952200,XLF,Financial Services
2024-02-21,39.64,40259000,XLF,Financial Services
2024-02-22,40.10,55188200,XLF,Financial Services
2024-02-23,40.30,42190500,XLF,Financial Services
2024-02-26,40.10,38370000,XLF,Financial Services
2024-02-27,40.21,42599500,XLF,Financial Services
2024-02-28,40.36,40040800,XLF,Financial Services
2024-02-29,40.34,37629700,XLF,Financial Services
2024-03-01,40.29,40760400,XLF,Financial Services
2024-03-04,40.39,53413200,XLF,Financial Services
2024-03-05,40.40,50770200,XLF,Financial Services
2024-03-06,40.61,58459500,XLF,Financial Services
2024-03-07,40.55,35505100,XLF,Financial Services
2024-03-08,40.62,47264300,XLF,Financial Services
2024-03-11,40.69,36233100,XLF,Financial Services
2024-03-12,40.86,53199300,XLF,Financial Services
2024-03-13,41.16,43471400,XLF,Financial Services
2024-03-14,40.83,65563400,XLF,Financial Services
2024-03-15,40.79,67555700,XLF,Financial Services
2024-03-18,40.87,39140600,XLF,Financial Services
2024-03-19,41.07,36748300,XLF,Financial Services
2024-03-20,41.56,52255300,XLF,Financial Services
2024-03-21,41.90,49209200,XLF,Financial Services
2024-03-22,41.42,32025600,XLF,Financial Services
2024-03-25,41.26,31784000,XLF,Financial Services
2024-03-26,41.40,30135500,XLF,Financial Services
2024-03-27,41.89,36670300,XLF,Financial Services
2024-03-28,42.12,41490200,XLF,Financial Services
2024-04-01,41.89,37537700,XLF,Financial Services
2024-04-02,41.67,36359800,XLF,Financial Services
2024-04-03,41.65,39715900,XLF,Financial Services
2024-04-04,41.18,52657500,XLF,Financial Services
2024-04-05,41.57,47539900,XLF,Financial Services
2024-04-08,41.75,35165700,XLF,Financial Services
2024-04-09,41.51,51971400,XLF,Financial Services
2024-04-10,40.89,59492800,XLF,Financial Services
2024-04-11,40.60,56870800,XLF,Financial Services
2024-04-12,40.06,81224300,XLF,Financial Services
2024-04-15,39.86,71800600,XLF,Financial Services
2024-04-16,39.59,66751300,XLF,Financial Services
2024-04-17,39.69,41561900,XLF,Financial Services
2024-04-18,39.83,48893400,XLF,Financial Services
2024-04-19,40.38,55508000,XLF,Financial Services
2024-04-22,40.87,50701200,XLF,Financial Services
2024-04-23,41.13,36488600,XLF,Financial Services
2024-04-24,41.12,33957500,XLF,Financial Services
2024-04-25,40.88,50365700,XLF,Financial Services
2024-04-26,40.82,35796900,XLF,Financial Services
2024-04-29,40.76,36596100,XLF,Financial Services
2024-04-30,40.36,34481600,XLF,Financial Services
2024-05-01,40.36,54717600,XLF,Financial Services
2024-05-02,40.46,37085100,XLF,Financial Services
2024-05-03,40.55,45012600,XLF,Financial Services
2024-05-06,41.07,42335600,XLF,Financial Services
2024-05-07,41.21,42601200,XLF,Financial Services
2024-05-08,41.36,28390900,XLF,Financial Services
2024-05-09,41.67,31594800,XLF,Financial Services
2024-05-10,41.83,34306800,XLF,Financial Services
2024-05-13,41.66,29570100,XLF,Financial Services
2024-05-14,41.87,30638300,XLF,Financial Services
2024-05-15,42.18,36138300,XLF,Financial Services
2024-05-16,42.18,36032700,XLF,Financial Services
2024-05-17,42.49,29813200,XLF,Financial Services
2024-05-20,41.91,35719600,XLF,Financial Services
2024-05-21,42.18,33413400,XLF,Financial Services
2024-05-22,41.94,38661100,XLF,Financial Services
2024-05-23,41.36,51768500,XLF,Financial Services
2024-05-24,41.61,23474500,XLF,Financial Services
2024-05-28,41.15,31004900,XLF,Financial Services
2024-05-29,40.82,40620200,XLF,Financial Services
2024-05-30,41.04,32772600,XLF,Financial Services
2024-05-31,41.64,38664000,XLF,Financial Services
2024-06-03,41.38,37855000,XLF,Financial Services
2024-06-04,41.19,27586400,XLF,Financial Services
2024-06-05,41.31,23817300,XLF,Financial Services
2024-06-06,41.29,39040200,XLF,Financial Services
2024-06-07,41.48,42273300,XLF,Financial Services
2024-06-10,41.32,31619000,XLF,Financial Services
2024-06-11,40.85,54584900,XLF,Financial Services
2024-06-12,40.81,46399800,XLF,Financial Services
2024-06-13,40.78,39497900,XLF,Financial Services
2024-06-14,40.65,29083000,XLF,Financial Services
2024-06-17,41.01,36076900,XLF,Financial Services
2024-06-18,41.27,38900300,XLF,Financial Services
2024-06-20,41.49,42869100,XLF,Financial Services
2024-06-21,41.33,42532800,XLF,Financial Services
2024-06-24,41.59,45252000,XLF,Financial Services
2024-06-25,41.28,32852900,XLF,Financial Services
2024-06-26,41.02,37978500,XLF,Financial Services
2024-06-27,40.97,25466100,XLF,Financial Services
2024-06-28,41.11,44045100,XLF,Financial Services
2024-07-01,41.20,36131100,XLF,Financial Services
2024-07-02,41.68,27033100,XLF,Financial Services
2024-07-03,41.55,21113200,XLF,Financial Services
2024-07-05,41.54,21421100,XLF,Financial Services
2024-07-08,41.43,27779300,XLF,Financial Services
2024-07-09,41.75,33140000,XLF,Financial Services
2024-07-10,41.91,28445400,XLF,Financial Services
2024-07-11,42.24,45836600,XLF,Financial Services
2024-07-12,42.38,38693154,XLF,Financial Services
2023-07-13,74.03,10581500,XLP,Consumer Defensive
2023-07-14,74.28,12475600,XLP,Consumer Defensive
2023-07-17,74.06,9496300,XLP,Consumer Defensive
2023-07-18,73.98,10124900,XLP,Consumer Defensive
2023-07-19,74.73,14718700,XLP,Consumer Defensive
2023-07-20,75.37,16106300,XLP,Consumer Defensive
2023-07-21,75.63,13836800,XLP,Consumer Defensive
2023-07-24,75.92,10692500,XLP,Consumer Defensive
2023-07-25,75.90,8576600,XLP,Consumer Defensive
2023-07-26,75.99,10506500,XLP,Consumer Defensive
2023-07-27,75.32,10008500,XLP,Consumer Defensive
2023-07-28,76.10,9672400,XLP,Consumer Defensive
2023-07-31,75.75,10057100,XLP,Consumer Defensive
2023-08-01,75.34,9376700,XLP,Consumer Defensive
2023-08-02,75.61,11509700,XLP,Consumer Defensive
2023-08-03,75.40,8774900,XLP,Consumer Defensive
2023-08-04,74.65,10022800,XLP,Consumer Defensive
2023-08-07,75.26,8875600,XLP,Consumer Defensive
2023-08-08,74.72,11413600,XLP,Consumer Defensive
2023-08-09,74.83,11912200,XLP,Consumer Defensive
2023-08-10,74.68,10357700,XLP,Consumer Defensive
2023-08-11,74.80,7472500,XLP,Consumer Defensive
2023-08-14,74.43,11483800,XLP,Consumer Defensive
2023-08-15,73.63,13257500,XLP,Consumer Defensive
2023-08-16,73.46,14814900,XLP,Consumer Defensive
2023-08-17,72.75,11798000,XLP,Consumer Defensive
2023-08-18,73.02,12334500,XLP,Consumer Defensive
2023-08-21,72.53,12005400,XLP,Consumer Defensive
2023-08-22,72.12,11496500,XLP,Consumer Defensive
2023-08-23,72.60,10796800,XLP,Consumer Defensive
2023-08-24,72.02,13797500,XLP,Consumer Defensive
2023-08-25,72.42,13088500,XLP,Consumer Defensive
2023-08-28,72.75,6914800,XLP,Consumer Defensive
2023-08-29,73.01,9502800,XLP,Consumer Defensive
2023-08-30,73.13,9679300,XLP,Consumer Defensive
2023-08-31,72.76,7731300,XLP,Consumer Defensive
2023-09-01,72.14,8346400,XLP,Consumer Defensive
2023-09-05,71.52,8634200,XLP,Consumer Defensive
2023-09-06,71.44,9050100,XLP,Consumer Defensive
