date,close,volume,symbol,sector
2023-07-13,83.75,4805000,XLB,Basic Materials
2023-07-14,83.26,5626000,XLB,Basic Materials
2023-07-17,83.34,4536400,XLB,Basic Materials
2023-07-18,83.99,5897700,XLB,Basic Materials
2023-07-19,83.54,5191700,XLB,Basic Materials
2023-07-20,83.74,4926700,XLB,Basic Materials
2023-07-21,83.75,4524000,XLB,Basic Materials
2023-07-24,84.01,4352800,XLB,Basic Materials
2023-07-25,85.52,8760500,XLB,Basic Materials
2023-07-26,85.23,6167600,XLB,Basic Materials
2023-07-27,84.68,7050700,XLB,Basic Materials
2023-07-28,85.27,4064800,XLB,Basic Materials
2023-07-31,85.72,5500600,XLB,Basic Materials
2023-08-01,85.34,7536700,XLB,Basic Materials
2023-08-02,84.28,10185300,XLB,Basic Materials
2023-08-03,83.76,9379400,XLB,Basic Materials
2023-08-04,83.57,8495000,XLB,Basic Materials
2023-08-07,84.12,5161100,XLB,Basic Materials
2023-08-08,83.23,6428800,XLB,Basic Materials
2023-08-09,82.89,7964100,XLB,Basic Materials
2023-08-10,82.95,5572400,XLB,Basic Materials
2023-08-11,82.72,3987300,XLB,Basic Materials
2023-08-14,82.90,3876700,XLB,Basic Materials
2023-08-15,81.55,5696300,XLB,Basic Materials
2023-08-16,81.00,5282200,XLB,Basic Materials
2023-08-17,80.84,5265400,XLB,Basic Materials
2023-08-18,80.83,4908900,XLB,Basic Materials
2023-08-21,80.84,4852600,XLB,Basic Materials
2023-08-22,80.77,3609100,XLB,Basic Materials
2023-08-23,80.90,3502300,XLB,Basic Materials
2023-08-24,80.56,4070200,XLB,Basic Materials
2023-08-25,80.80,5378900,XLB,Basic Materials
2023-08-28,81.39,5050900,XLB,Basic Materials
2023-08-29,82.74,5875500,XLB,Basic Materials
2023-08-30,82.93,3798700,XLB,Basic Materials
2023-08-31,82.89,3280000,XLB,Basic Materials
2023-09-01,83.82,5911500,XLB,Basic Materials
2023-09-05,82.27,6463200,XLB,Basic Materials
2023-09-06,82.09,4653100,XLB,Basic Materials
2023-09-07,81.72,4437200,XLB,Basic Materials
2023-09-08,81.80,3493200,XLB,Basic Materials
2023-09-11,82.15,4035300,XLB,Basic Materials
2023-09-12,81.96,4210700,XLB,Basic Materials
2023-09-13,81.48,4585500,XLB,Basic Materials
2023-09-14,82.63,4334500,XLB,Basic Materials
2023-09-15,81.71,6985800,XLB,Basic Materials
2023-09-18,80.98,3683300,XLB,Basic Materials
2023-09-19,80.91,4084100,XLB,Basic Materials
2023-09-20,80.06,4649700,XLB,Basic Materials
2023-09-21,78.45,6779800,XLB,Basic Materials
2023-09-22,78.37,6017600,XLB,Basic Materials
2023-09-25,78.99,4122800,XLB,Basic Materials
2023-09-26,77.85,5475900,XLB,Basic Materials
2023-09-27,77.84,5516000,XLB,Basic Materials
2023-09-28,78.68,4699100,XLB,Basic Materials
2023-09-29,78.55,5857200,XLB,Basic Materials
2023-10-02,77.51,11299400,XLB,Basic Materials
2023-10-03,77.30,13179000,XLB,Basic Materials
2023-10-04,78.21,8977000,XLB,Basic Materials
2023-10-05,77.26,10237200,XLB,Basic Materials
2023-10-06,77.99,8042900,XLB,Basic Materials
2023-10-09,78.09,6487400,XLB,Basic Materials
2023-10-10,78.92,6854900,XLB,Basic Materials
2023-10-11,79.11,4929400,XLB,Basic Materials
2023-10-12,77.93,6063300,XLB,Basic Materials
2023-10-13,77.64,5634600,XLB,Basic Materials
2023-10-16,78.40,6181900,XLB,Basic Materials
2023-10-17,79.17,5818300,XLB,Basic Materials
2023-10-18,77.12,6508600,XLB,Basic Materials
