date,XLB - Basic Materials,XLC - Communication Services,XLE - Energy,XLF - Financial Services,XLI - Industrials,XLK - Technology,XLP - Consumer Defensive,XLRE - Real Estate,XLU - Utilities,XLV - Healthcare,XLY - Consumer Cyclical
2025-09-26,43.63,116.72,44.72,53.02,150.86,138.71,75.88,40.45,42.20,133.27,118.88
2025-09-29,43.80,117.10,43.90,53.29,151.32,139.45,76.02,40.53,42.32,133.67,119.40
2025-09-30,44.01,116.92,43.43,53.03,152.49,140.21,76.28,40.69,42.40,136.88,118.84
2025-10-01,43.55,115.28,43.43,52.56,152.06,141.58,76.16,40.69,42.80,141.11,119.59
2025-10-02,44.06,115.03,42.99,52.52,152.46,142.35,75.86,40.48,42.73,140.84,118.73
2025-10-03,44.13,114.97,43.22,52.89,152.66,141.63,75.95,40.65,43.22,142.44,117.96
2025-10-06,44.09,115.08,43.44,52.87,153.38,143.07,75.39,40.24,43.64,141.75,118.97
2025-10-07,43.92,114.64,43.50,52.94,152.51,142.11,76.09,40.11,43.84,141.86,116.89
2025-10-08,44.15,114.17,43.25,52.68,153.83,144.60,75.71,39.91,44.14,142.13,117.24
2025-10-09,43.55,113.51,42.66,52.49,151.56,144.36,75.96,39.73,44.03,141.82,116.65
2025-10-10,42.65,111.42,41.43,51.35,148.21,138.48,76.01,39.29,43.85,139.77,113.44
2025-10-13,43.33,112.45,41.99,51.84,149.75,141.86,75.76,39.52,44.18,139.62,115.98
2025-10-14,43.76,113.19,41.99,52.41,151.51,140.04,76.98,39.89,44.58,140.00,116.22
2025-10-15,43.57,113.99,41.96,52.41,150.88,141.42,77.11,40.47,45.16,140.22,116.39
2025-10-16,43.24,112.77,41.46,50.96,149.89,141.53,76.58,40.35,44.67,139.98,115.26
2025-10-17,43.16,113.53,41.80,51.37,150.02,141.78,77.60,40.61,44.52,140.92,116.26
2025-10-20,43.68,114.82,42.24,51.97,151.78,143.36,77.53,41.03,44.50,142.41,117.18
2025-10-21,43.51,115.22,42.14,51.91,153.13,143.43,77.17,40.91,44.05,142.74,118.61
2025-10-22,43.38,114.23,42.68,51.62,151.14,142.02,77.61,41.09,43.95,143.56,117.68
2025-10-23,43.90,113.84,43.25,51.72,153.03,143.81,77.23,41.05,43.91,143.64,118.21
2025-10-24,43.72,114.14,42.81,52.29,153.16,146.04,76.98,41.20,44.43,143.63,117.86
2025-10-27,43.70,115.73,42.92,52.50,154.03,148.74,77.10,41.28,44.55,143.96,119.56
2025-10-28,43.75,115.15,42.47,52.17,152.93,150.21,76.34,40.37,43.82,143.06,119.59
2025-10-29,42.89,114.87,42.79,51.28,153.33,151.29,74.53,39.26,43.80,141.61,118.60
2025-10-30,42.32,112.92,42.53,51.42,152.94,149.43,74.46,39.49,43.62,141.93,115.92
2025-10-31,42.07,113.41,42.84,51.56,153.31,149.57,74.24,39.51,43.31,141.88,118.99
2025-11-03,41.81,112.20,42.85,51.34,152.65,150.18,73.66,39.44,43.34,142.08,120.10
2025-11-04,41.61,111.43,42.39,51.61,150.89,146.22,73.96,39.54,43.18,142.72,118.11
2025-11-05,41.85,112.03,42.50,51.78,151.47,146.79,73.91,39.54,43.19,143.27,119.55
