title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
Why Recursion Pharmaceuticals Shares Are Trading Lower By Around 10%? Here Are Other Stocks Moving In Tuesday's Mid-Day Session - Intel  ( NASDAQ:INTC ) ,20240903T174109,https://www.benzinga.com/news/24/09/40693495/why-recursion-pharmaceuticals-shares-are-trading-lower-by-around-10-here-are-other-stocks-moving-in,GDC,0.090474,Somewhat-Bearish,-0.251476
Dow Jumps Over 100 Points; Estee Lauder Shares Edge Lower After Q4 Results - Estee Lauder Cos  ( NYSE:EL ) ,20240819T135610,https://www.benzinga.com/news/24/08/40441126/dow-jumps-over-100-points-estee-lauder-shares-edge-lower-after-q4-results,GDC,0.170878,Bearish,-0.451142
"Why First Republic Bank Shares Are Trading Lower By 34%; Here Are 20 Stocks Moving Premarket - Dunxin Financial Hldgs  ( AMEX:DXF ) , Apollomics  ( NASDAQ:APLM ) ",20230501T130719,https://www.benzinga.com/news/23/05/32118728/why-first-republic-bank-shares-are-trading-lower-by-34-here-are-20-stocks-moving-premarket,GDC,0.162255,Neutral,0.068394
Why Wolfspeed Shares Are Trading Higher By Around 8%; Here Are 20 Stocks Moving Premarket - Wolfspeed  ( NYSE:WOLF ) ,20240822T100644,https://www.benzinga.com/news/24/08/40502530/why-wolfspeed-shares-are-trading-higher-by-around-8-here-are-20-stocks-moving-premarket,GDC,0.246999,Somewhat-Bullish,0.275272
"Why Arconic Shares Are Trading Higher By 26%; Here Are 20 Stocks Moving Premarket - Ambow Education Holding  ( AMEX:AMBO ) , Aptorum Gr  ( NASDAQ:APM ) ",20230504T123007,https://www.benzinga.com/news/23/05/32211536/why-arconic-shares-are-trading-higher-by-26-here-are-20-stocks-moving-premarket,GDC,0.188928,Neutral,0.063795
