title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
Why Embark Technology Jumped Around 85%; Here Are 108 Biggest Movers From Friday,20220815T074324,https://www.benzinga.com/news/22/08/28488766/why-embark-technology-jumped-around-85-here-are-108-biggest-movers-from-friday,IMV,0.033942,Neutral,0.126863
"Why Bed Bath & Beyond Shares Are Trading Lower By 23%; Here Are 20 Stocks Moving Premarket - Bed Bath & Beyond  ( NASDAQ:BBBY ) , Apollomics  ( NASDAQ:APLM ) ",20230426T123739,https://www.benzinga.com/news/23/04/32009221/why-bed-bath-beyond-shares-are-trading-lower-by-23-here-are-20-stocks-moving-premarket,IMV,0.188683,Somewhat-Bearish,-0.195989
"Why Core Scientific Shares Are Trading Lower By Around 32%; Here Are 26 Stocks Moving Premarket - Alset  ( NASDAQ:AEI ) , ADC Therapeutics  ( NYSE:ADCT ) ",20221221T110213,https://www.benzinga.com/news/22/12/30157281/why-core-scientific-shares-are-trading-lower-by-around-32-here-are-26-stocks-moving-premarket,IMV,0.169279,Somewhat-Bearish,-0.164579
"Dow Tumbles Over 500 Points; ECB Raises Rates By 50 bps - Azure Power Global  ( NYSE:AZRE ) , Genie Energy  ( NYSE:GNE ) ",20221215T150950,https://www.benzinga.com/news/earnings/22/12/30093755/dow-tumbles-over-500-points-ecb-raises-rates-by-50-bps,IMV,0.114682,Somewhat-Bullish,0.268414
