title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
"Why Richardson Electronics Shares Surged Over 8%; Here Are 55 Biggest Movers From Friday - Angel Oak Mortgage  ( NYSE:AOMR ) , Ampco-Pittsburgh  ( NYSE:AP ) ",20221128T100924,https://www.benzinga.com/news/22/11/29866518/why-richardson-electronics-shares-surged-over-8-here-are-55-biggest-movers-from-friday,TMPO,0.075161,Somewhat-Bearish,-0.253451
"Why Root Shares Are Trading Higher By 50%; Here Are 20 Stocks Moving Premarket - Applied Optoelectronics  ( NASDAQ:AAOI ) , Ault Disruptive Tech  ( AMEX:ADRT ) ",20230622T115106,https://www.benzinga.com/news/23/06/32963665/why-root-shares-are-trading-higher-by-50-here-are-20-stocks-moving-premarket,TMPO,0.241284,Bullish,0.598334
"Why Bed Bath & Beyond Shares Are Trading Lower By Around 38%; Here Are 20 Stocks Moving Premarket - Aditxt  ( NASDAQ:ADTX ) , ARB IOT Group  ( NASDAQ:ARBB ) ",20230424T120518,https://www.benzinga.com/news/23/04/31954369/why-bed-bath-beyond-shares-are-trading-lower-by-around-38-here-are-20-stocks-moving-premarket,TMPO,0.204072,Somewhat-Bullish,0.311293
Why Netflix Shares Are Trading Higher By Around 6%; Here Are 20 Stocks Moving Premarket,20230120T125552,https://www.benzinga.com/news/23/01/30500336/why-netflix-shares-are-trading-higher-by-around-6-here-are-20-stocks-moving-premarket,TMPO,0.120733,Neutral,0.0
