title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
Why Granite Point Mortgage Trust Shares Are Trading Higher; Here Are 20 Stocks Moving Premarket - Granite Point Mortgage  ( NYSE:GPMT ) ,20240923T094647,https://www.benzinga.com/news/24/09/40975814/why-granite-point-mortgage-trust-shares-are-trading-higher-here-are-20-stocks-moving-premarket,CERO,0.151539,Somewhat-Bearish,-0.22515
"Why Corvus Pharmaceuticals Shares Are Trading Higher By Around 22%; Here Are 20 Stocks Moving Premarket - AuthID  ( NASDAQ:AUID ) , Applied DNA Sciences  ( NASDAQ:APDN ) ",20241218T093422,https://www.benzinga.com/24/12/42547912/why-corvus-pharmaceuticals-shares-are-trading-higher-by-around-22-here-are-20-stocks-moving-premarket,CERO,0.179121,Somewhat-Bullish,0.237858
Why Pitney Bowes Shares Are Trading Higher By Over 12%; Here Are 20 Stocks Moving Premarket - Pitney Bowes  ( NYSE:PBI ) ,20240729T092634,https://www.benzinga.com/news/24/07/40005612/why-pitney-bowes-shares-are-trading-higher-by-over-12-here-are-20-stocks-moving-premarket,CERO,0.138464,Neutral,0.133618
"Why Taysha Gene Therapies Shares Are Trading Higher By Around 27%; Here Are 20 Stocks Moving Premarket - BYND Cannasoft Enterprise  ( NASDAQ:BCAN ) , Aquestive Therapeutics  ( NASDAQ:AQST ) ",20240320T122039,https://www.benzinga.com/news/24/03/37844820/why-taysha-gene-therapies-shares-are-trading-higher-by-around-27-here-are-20-stocks-moving-premarket,CERO,0.124486,Somewhat-Bearish,-0.217199
"Dow Tumbles Over 200 Points; CERo Therapeutics Shares Jump - CERo Therapeutics Hldgs  ( NASDAQ:CERO ) , Capricor Therapeutics  ( NASDAQ:CAPR ) ",20240925T184911,https://www.benzinga.com/markets/equities/24/09/41032868/dow-tumbles-over-200-points-cero-therapeutics-shares-jump,CERO,0.163909,Somewhat-Bullish,0.266937
Crude Oil Down Over 1%; Stitch Fix Shares Plummet - Stitch Fix  ( NASDAQ:SFIX ) ,20240925T155429,https://www.benzinga.com/news/earnings/24/09/41028887/crude-oil-down-over-1-stitch-fix-shares-plummet,CERO,0.15697,Somewhat-Bullish,0.259899
Dow Falls Over 50 Points; Cintas Posts Upbeat Earnings - Cintas  ( NASDAQ:CTAS ) ,20240925T135350,https://www.benzinga.com/news/earnings/24/09/41025717/dow-falls-over-50-points-cintas-posts-upbeat-earnings,CERO,0.162255,Somewhat-Bullish,0.265244
Why Bloom Energy Group Shares Are Trading Higher By 12%; Here Are 20 Stocks Moving Premarket - Bloom Energy  ( NYSE:BE ) ,20240717T100331,https://www.benzinga.com/news/24/07/39810902/why-bloom-energy-group-shares-are-trading-higher-by-12-here-are-20-stocks-moving-premarket,CERO,0.142144,Bullish,0.458126
Why Porch Group Shares Are Trading Higher By Around 20%; Here Are 20 Stocks Moving Premarket - Porch Group  ( NASDAQ:PRCH ) ,20240308T132350,https://www.benzinga.com/news/24/03/37557816/why-porch-group-shares-are-trading-higher-by-around-20-here-are-20-stocks-moving-premarket,CERO,0.186738,Neutral,-0.015206
Why Adobe Shares Are Trading Higher By Around 15%; Here Are 20 Stocks Moving Premarket - Adobe  ( NASDAQ:ADBE ) ,20240614T121925,https://www.benzinga.com/news/24/06/39331171/why-adobe-shares-are-trading-higher-by-around-15-here-are-20-stocks-moving-premarket,CERO,0.137278,Neutral,0.089192
