title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
Crude Oil Drops 1%; General Motors Earnings Miss Views,20220726T183646,https://www.benzinga.com/news/earnings/22/07/28212522/crude-oil-drops-1-general-motors-earnings-miss-views,FRGT,0.124809,Somewhat-Bullish,0.213962
Nasdaq Tumbles 200 Points; McDonald's Posts Upbeat Q2 Earnings,20220726T163041,https://www.benzinga.com/news/earnings/22/07/28210367/nasdaq-tumbles-200-points-mcdonalds-posts-upbeat-q2-earnings,FRGT,0.128135,Somewhat-Bullish,0.216554
"Why NanoVibronix Shares Surged Over 25%; Here Are 82 Biggest Movers From Friday - ABVC BioPharma  ( NASDAQ:ABVC ) , Altimmune  ( NASDAQ:ALT ) ",20220926T074323,https://www.benzinga.com/news/22/09/29002223/why-nanovibronix-shares-surged-over-25-here-are-82-biggest-movers-from-friday,FRGT,0.044551,Neutral,-0.109814
"Why Getaround Shares Are Trading Higher By Around 86%; Here Are 20 Stocks Moving Premarket - Aileron Therapeutics  ( NASDAQ:ALRN ) , Aadi Bioscience  ( NASDAQ:AADI ) ",20231215T131709,https://www.benzinga.com/news/23/12/36255748/why-getaround-shares-are-trading-higher-by-around-86-here-are-20-stocks-moving-premarket,FRGT,0.236588,Somewhat-Bullish,0.239391
Why Alphabet Shares Are Trading Higher By 12%; Here Are 20 Stocks Moving Premarket - Alphabet  ( NASDAQ:GOOGL ) ,20240426T121832,https://www.benzinga.com/news/24/04/38458188/why-alphabet-shares-are-trading-higher-by-12-here-are-20-stocks-moving-premarket,FRGT,0.132733,Somewhat-Bullish,0.210694
"Why BSQUARE Shares Are Trading Higher By Around 44%; Here Are 20 Stocks Moving Premarket - AgileThought  ( NASDAQ:AGIL ) , Agape ATP  ( NASDAQ:ATPC ) ",20231012T132934,https://www.benzinga.com/news/23/10/35217585/why-bsquare-shares-are-trading-higher-by-around-44-here-are-20-stocks-moving-premarket,FRGT,0.166169,Somewhat-Bearish,-0.273419
"Why MediaAlpha Shares Jumped Around 30%; Here Are 112 Biggest Movers From Friday - Alcoa  ( NYSE:AA ) , Adient  ( NYSE:ADNT ) ",20221107T080741,https://www.benzinga.com/news/22/11/29586663/why-mediaalpha-shares-jumped-around-30-here-are-112-biggest-movers-from-friday,FRGT,0.03443,Neutral,0.0
"Why PlayAGS Shares Are Trading Lower By Over 15%; Here Are 33 Stocks Moving Premarket - BIMI Intl Medical  ( NASDAQ:BIMI ) , PlayAGS  ( NYSE:AGS ) ",20221115T124917,https://www.benzinga.com/news/22/11/29725287/why-playags-shares-are-trading-lower-by-over-15-here-are-33-stocks-moving-premarket,FRGT,0.291182,Neutral,-0.052222
"Why ProMIS Neurosciences Shares Are Trading Higher By 33%; Here Are 20 Stocks Moving Premarket - Axcella Health  ( NASDAQ:AXLA ) , AerSale  ( NASDAQ:ASLE ) ",20230822T123103,https://www.benzinga.com/news/23/08/33981637/why-promis-neurosciences-shares-are-trading-higher-by-33-here-are-20-stocks-moving-premarket,FRGT,0.16171,Somewhat-Bullish,0.222309
Crude Oil Jumps 2%; Lululemon Posts Upbeat Earnings - Lululemon Athletica  ( NASDAQ:LULU ) ,20240606T162251,https://www.benzinga.com/news/24/06/39211280/crude-oil-jumps-2-lululemon-posts-upbeat-earnings,FRGT,0.112008,Somewhat-Bullish,0.198074
"Why Pinterest Shares Jumped Around 14%; Here Are 69 Biggest Movers From Friday - Aeglea BioTherapeutics  ( NASDAQ:AGLE ) , Avista Public Acquisition  ( NASDAQ:AHPA ) ",20221031T081300,https://www.benzinga.com/news/22/10/29474596/why-pinterest-shares-jumped-around-14-here-are-69-biggest-movers-from-friday,FRGT,0.084922,Neutral,-0.015835
"Why VYNE Therapeutics Shares Are Trading Higher By 82%; Here Are 20 Stocks Moving Premarket - Argo Blockchain  ( NASDAQ:ARBK ) , Apexigen  ( NASDAQ:APGN ) ",20230110T125517,https://www.benzinga.com/news/23/01/30350430/why-vyne-therapeutics-shares-are-trading-higher-by-82-here-are-20-stocks-moving-premarket,FRGT,0.167322,Somewhat-Bearish,-0.170122
