title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
"Why Smith & Wesson Brands Shares Are Trading Higher By 12%; Here Are 20 Stocks Moving Premarket - AGBA Group Holding  ( NASDAQ:AGBA ) , Altisource Portfolio  ( NASDAQ:ASPS ) ",20230908T122835,https://www.benzinga.com/news/23/09/34360228/why-smith-wesson-brands-shares-are-trading-higher-by-12-here-are-20-stocks-moving-premarket,BGLC,0.197413,Somewhat-Bullish,0.281019
"Why UP Fintech Shares Are Trading Higher By Around 7%; Here Are 20 Stocks Moving Premarket - AgriFORCE Growing Systems  ( NASDAQ:AGRI ) , Apollomics  ( NASDAQ:APLM ) ",20231127T131025,https://www.benzinga.com/news/23/11/35956771/why-up-fintech-shares-are-trading-higher-by-around-7-here-are-20-stocks-moving-premarket,BGLC,0.145145,Somewhat-Bearish,-0.234624
"Why Wang & Lee Group Shares Are Trading Higher By 38%; Here Are 20 Stocks Moving Premarket - Adaptive Biotechnologies  ( NASDAQ:ADPT ) , AGBA Group Holding  ( NASDAQ:AGBA ) ",20240419T094548,https://www.benzinga.com/news/24/04/38330517/why-wang-lee-group-shares-are-trading-higher-by-38-here-are-20-stocks-moving-premarket,BGLC,0.185781,Neutral,0.148769
"US Stocks Mixed; Dow Gains 50 Points - BioNexus Gene Lab  ( NASDAQ:BGLC ) , Amazon.com  ( NASDAQ:AMZN ) ",20231124T144247,https://www.benzinga.com/news/earnings/23/11/35939992/us-stocks-mixed-dow-gains-50-points,BGLC,0.169081,Bullish,0.47351
