title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
Stocks That Hit 52-Week Lows On Wednesday,20220511T162815,https://www.benzinga.com/markets/options/22/05/27141482/52-weeks-high-and-low-article,ASMB,0.006905,Neutral,-0.002159
"Why Icosavax Shares Are Trading Higher By Around 45%; Here Are 20 Stocks Moving Premarket - Assembly Biosciences  ( NASDAQ:ASMB ) , Achieve Life Sciences  ( NASDAQ:ACHV ) ",20231212T130008,https://www.benzinga.com/news/23/12/36194643/why-icosavax-shares-are-trading-higher-by-around-45-here-are-20-stocks-moving-premarket,ASMB,0.155954,Bearish,-0.387681
"Crude Oil Moves Lower; Bank of America Profit Beats Expectations - Bank of America  ( NYSE:BAC ) , Assembly Biosciences  ( NASDAQ:ASMB ) ",20231017T183154,https://www.benzinga.com/news/earnings/23/10/35295744/crude-oil-moves-lower-bank-of-america-profit-beats-expectations,ASMB,0.132368,Somewhat-Bullish,0.230699
"Dow Surges 100 Points; Goldman Sachs Posts Upbeat Earnings - Evelo Biosciences  ( NASDAQ:EVLO ) , Assembly Biosciences  ( NASDAQ:ASMB ) ",20231017T155630,https://www.benzinga.com/news/earnings/23/10/35292651/dow-surges-100-points-goldman-sachs-posts-upbeat-earnings,ASMB,0.132004,Somewhat-Bullish,0.230389
