title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
Why Stitch Fix Shares Are Trading Higher By 18%; Here Are 20 Stocks Moving Premarket - Stitch Fix  ( NASDAQ:SFIX ) ,20240605T092725,https://www.benzinga.com/news/24/06/39178410/why-stitch-fix-shares-are-trading-higher-by-18-here-are-20-stocks-moving-premarket,GDHG,0.140896,Neutral,-0.053855
Why Intel Shares Are Trading Higher By Around 7%; Here Are 20 Stocks Moving Premarket - Ocean Power Techs  ( AMEX:OPTT ) ,20240917T094813,https://www.benzinga.com/news/24/09/40893104/why-intel-shares-are-trading-higher-by-around-7-here-are-20-stocks-moving-premarket,GDHG,0.158,Neutral,0.145103
"US Stocks Down; Nonfarm Payrolls Rise By 199,000 In November - Applied UV  ( NASDAQ:AUVI ) , Cyngn  ( NASDAQ:CYN ) ",20231208T144447,https://www.benzinga.com/news/earnings/23/12/36153916/us-stocks-down-nonfarm-payrolls-rise-by-199-000-in-november,GDHG,0.232069,Bullish,0.396284
"Why Hello Group Shares Are Trading Higher By Around 8%; Here Are 20 Stocks Moving Premarket - Ault Alliance  ( AMEX:AULT ) , Aligos Therapeutics  ( NASDAQ:ALGS ) ",20231208T130542,https://www.benzinga.com/news/23/12/36151903/why-hello-group-shares-are-trading-higher-by-around-8-here-are-20-stocks-moving-premarket,GDHG,0.190667,Somewhat-Bullish,0.239637
