title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
Stocks That Hit 52-Week Lows On Wednesday,20220511T162815,https://www.benzinga.com/markets/options/22/05/27141482/52-weeks-high-and-low-article,OCG,0.006905,Neutral,-0.015008
"Why Shift Technologies Shares Are Trading Lower By 15%; Here Are 20 Stocks Moving Premarket - Ault Alliance  ( AMEX:AULT ) , Arcturus Therapeutics  ( NASDAQ:ARCT ) ",20230329T120556,https://www.benzinga.com/news/23/03/31545940/why-shift-technologies-shares-are-trading-lower-by-15-here-are-20-stocks-moving-premarket,OCG,0.154455,Neutral,-0.08665
"Why Discover Financial Services Shares Are Trading Higher By Around 11%; Here Are 20 Stocks Moving Premarket - AgriFORCE Growing Systems  ( NASDAQ:AGRI ) , AGM Gr Hldgs  ( NASDAQ:AGMH ) ",20240220T130916,https://www.benzinga.com/news/24/02/37210416/why-discover-financial-services-shares-are-trading-higher-by-around-11-here-are-20-stocks-moving-pre,OCG,0.14131,Neutral,0.135243
