title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
66 Biggest Movers From Friday,20220523T075758,https://www.benzinga.com/news/22/05/27341379/66-biggest-movers-from-friday,DTSS,0.081635,Neutral,-0.045237
38 Stocks Moving In Friday's Mid-Day Session,20220520T160330,https://www.benzinga.com/news/22/05/27327237/38-stocks-moving-in-fridays-mid-day-session,DTSS,0.148,Neutral,-0.023699
73 Biggest Movers From Yesterday,20220517T084925,https://www.benzinga.com/news/22/05/27243846/73-biggest-movers-from-yesterday,DTSS,0.052564,Neutral,-0.126071
"Crude Oil Rises 2%; Avalo Therapeutics Shares Spike Higher - Cognyte Software  ( NASDAQ:CGNT ) , Avalo Therapeutics  ( NASDAQ:AVTX ) ",20230912T184440,https://www.benzinga.com/news/earnings/23/09/34501761/crude-oil-rises-2-avalo-therapeutics-shares-spike-higher,DTSS,0.129866,Neutral,-0.096137
"Dow Turns Higher; Oracle Shares Tumble After Q1 Results - Cognyte Software  ( NASDAQ:CGNT ) , Avalo Therapeutics  ( NASDAQ:AVTX ) ",20230912T161030,https://www.benzinga.com/news/earnings/23/09/34496985/dow-turns-higher-oracle-shares-tumble-after-q1-results,DTSS,0.130926,Neutral,-0.09652
This Financial Services Is Trading Higher By Over 217%; Here Are 38 Stocks Moving Premarket,20220802T103905,https://www.benzinga.com/news/22/08/28305721/this-financial-services-is-trading-higher-by-over-217-here-are-38-stocks-moving-premarket,DTSS,0.089797,Neutral,0.0
"Why Comtech Telecommunications Shares Are Trading Higher By Around 17%; Here Are 20 Stocks Moving Premarket - Blue Star Foods  ( NASDAQ:BSFC ) , Bio-Path Hldgs  ( NASDAQ:BPTH ) ",20231013T113538,https://www.benzinga.com/news/23/10/35238161/why-comtech-telecommunications-shares-are-trading-higher-by-around-17-here-are-20-stocks-moving-prem,DTSS,0.242084,Neutral,-0.065076
