title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
RevOpsis Welcomes Dr. Emmett Cunningham to Strategic Advisory Board,20240503T140000,https://www.prnewswire.com/news-releases/revopsis-welcomes-dr-emmett-cunningham-to-strategic-advisory-board-302135444.html,BX,0.150278,Neutral,0.0
The US Treasury Is Running Out Of Cash - Deere  ( NYSE:DE ) ,20230522T134440,https://www.benzinga.com/news/23/05/32508509/the-us-treasury-is-running-out-of-cash,BX,0.033375,Neutral,0.0
"Blackstone and Airbnb Set to Join S&P 500; Others to Join S&P 100, S&P MidCap 400 and S&P SmallCap 600",20230901T225100,https://markets.businessinsider.com/news/stocks/blackstone-and-airbnb-set-to-join-s-p-500-others-to-join-s-p-100-s-p-midcap-400-and-s-p-smallcap-600-1032600818,BX,0.114137,Neutral,0.088685
"S&P 500 Gains 1%; State Street Reports Upbeat Earnings - C3is  ( NASDAQ:CISS ) , Anitra  ( AMEX:AZTR ) ",20240119T191704,https://www.benzinga.com/news/earnings/24/01/36700365/s-p-500-gains-1-state-street-reports-upbeat-earnings,BX,0.129168,Bullish,0.364054
"Dow Jumps 150 Points; US Consumer Sentiment Surges In January - Anitra  ( AMEX:AZTR ) , C3is  ( NASDAQ:CISS ) ",20240119T170111,https://www.benzinga.com/news/earnings/24/01/36698245/dow-jumps-150-points-us-consumer-sentiment-surges-in-january,BX,0.151539,Bullish,0.393931
"US Stocks Higher; Schlumberger Earnings Beat Estimates - Accelerate Diagnostics  ( NASDAQ:AXDX ) , C3is  ( NASDAQ:CISS ) ",20240119T145335,https://www.benzinga.com/news/earnings/24/01/36696062/us-stocks-higher-schlumberger-earnings-beat-estimates,BX,0.214304,Bullish,0.493871
