title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
Why JanOne Shares Are Trading Higher By 19%; Here Are 20 Stocks Moving Premarket - JanOne  ( NASDAQ:JAN ) ,20240513T094610,https://www.benzinga.com/news/24/05/38783309/why-janone-shares-are-trading-higher-by-19-here-are-20-stocks-moving-premarket,TVGN,0.13459,Neutral,0.121894
Why LENZ Therapeutics Shares Are Trading Higher By Around 18%; Here Are 20 Stocks Moving Premarket - Koninklijke Philips  ( NYSE:PHG ) ,20241028T103251,https://www.benzinga.com/news/24/10/41569352/why-lenz-therapeutics-shares-are-trading-higher-by-around-18-here-are-20-stocks-moving-premarket,TVGN,0.211806,Neutral,0.122543
Why Alphabet Shares Are Trading Higher By 12%; Here Are 20 Stocks Moving Premarket - Alphabet  ( NASDAQ:GOOGL ) ,20240426T121832,https://www.benzinga.com/news/24/04/38458188/why-alphabet-shares-are-trading-higher-by-12-here-are-20-stocks-moving-premarket,TVGN,0.132733,Somewhat-Bullish,0.206403
"Why Discover Financial Services Shares Are Trading Higher By Around 11%; Here Are 20 Stocks Moving Premarket - AgriFORCE Growing Systems  ( NASDAQ:AGRI ) , AGM Gr Hldgs  ( NASDAQ:AGMH ) ",20240220T130916,https://www.benzinga.com/news/24/02/37210416/why-discover-financial-services-shares-are-trading-higher-by-around-11-here-are-20-stocks-moving-pre,TVGN,0.210579,Neutral,-0.065585
