title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
"Nasdaq Drops 200 Points; Meta Platforms Shares Jump - Altisource Portfolio  ( NASDAQ:ASPS ) , Athersys  ( NASDAQ:ATHX ) ",20221109T192400,https://www.benzinga.com/news/earnings/22/11/29644075/nasdaq-drops-200-points-meta-platforms-shares-jump,CRYPTO:FTT,0.067919,Somewhat-Bearish,-0.228105
"Crude Oil Down Over 2%; Outset Medical Shares Spike Higher - American Realty Investors  ( NYSE:ARL ) , Athersys  ( NASDAQ:ATHX ) ",20221109T171935,https://www.benzinga.com/news/earnings/22/11/29642056/crude-oil-down-over-2-outset-medical-shares-spike-higher,CRYPTO:FTT,0.076602,Somewhat-Bearish,-0.230482
"US Stocks Open Lower; Dow Drops 250 Points - Amyris  ( NASDAQ:AMRS ) , D.R. Horton  ( NYSE:DHI ) ",20221109T151034,https://www.benzinga.com/news/earnings/22/11/29639184/us-stocks-open-lower-dow-drops-250-points,CRYPTO:FTT,0.072217,Somewhat-Bearish,-0.204789
