Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,Date
FCX,Freeport-McMoRan Inc.,65.13,1.5,2.36,48089000,17241000,93522000000,2026-01-30T07:24:40.495801
B,Barrick Mining Corporation,52.05,-0.93,-1.76,23217000,15106000,88996000000,2026-01-30T07:24:40.495801
GFI,Gold Fields Limited,58.61,-2.9,-4.71,9959000,3204000,52748000000,2026-01-30T07:24:40.495801
PAAS,Pan American Silver Corp.,63.29,-2.63,-3.99,13667000,6868000,26711000000,2026-01-30T07:24:40.495801
FLEX,Flex Ltd.,65.47,-0.8,-1.21,3279000,4944000,24483000000,2026-01-30T07:24:40.495801
FTI,TechnipFMC plc,55.92,0.67,1.21,3089000,2978000,22984000000,2026-01-30T07:24:40.495801
CELH,"Celsius Holdings, Inc.",53.37,-0.54,-1.0,2913000,6219000,13758000000,2026-01-30T07:24:40.495801
FIGR,"Figure Technology Solutions, Inc.",60.47,-7.45,-10.96,5969000,2910000,12940000000,2026-01-30T07:24:40.495801
AMKR,"Amkor Technology, Inc.",50.0,-0.96,-1.88,3372000,3740000,12360000000,2026-01-30T07:24:40.495801
CEF,Sprott Physical Gold and Silver Trust,59.21,0.1,0.17,4971000,1490000,11468000000,2026-01-30T07:24:40.495801
MP,MP Materials Corp.,62.16,-4.85,-7.24,16424000,9318000,11017000000,2026-01-30T07:24:40.495801
FROG,JFrog Ltd.,55.43,-4.64,-7.73,2817000,1975000,6558000000,2026-01-30T07:24:40.495801
CGON,"CG Oncology, Inc.",53.42,-0.42,-0.78,688076,1092000,4414000000,2026-01-30T07:24:40.495801
ACMR,"ACM Research, Inc.",54.68,-1.11,-1.99,1041000,1372000,3547000000,2026-01-30T07:24:40.495801
JOYY,JOYY Inc.,66.41,-0.78,-1.16,496037,363478,3411000000,2026-01-30T07:24:40.495801
XMTR,"Xometry, Inc.",61.11,-3.76,-5.8,740342,743148,3132000000,2026-01-30T07:24:40.495801
INSW,"International Seaways, Inc.",59.32,-0.34,-0.57,473119,530141,2930000000,2026-01-30T07:24:40.495801
DNTH,"Dianthus Therapeutics, Inc.",53.36,2.86,5.66,1091000,737790,2288000000,2026-01-30T07:24:40.495801
TNK,Teekay Tankers Ltd.,64.19,0.86,1.36,342665,410306,2217000000,2026-01-30T07:24:40.495801
INOD,Innodata Inc.,63.86,8.02,14.36,4308000,1204000,2035000000,2026-01-30T07:24:40.495801
RAPT,"RAPT Therapeutics, Inc.",57.63,-0.02,-0.03,4348000,1114000,1669000000,2026-01-30T07:24:40.495801
