Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,Date
FCX,Freeport-McMoRan Inc.,63.63,0.76,1.21,20207000,17061000,91368000000,2026-01-29T08:11:18.903078
B,Barrick Mining Corporation,52.98,0.81,1.55,18690000,14968000,90586000000,2026-01-29T08:11:18.903078
GFI,Gold Fields Limited,61.51,5.06,8.96,5812000,3146000,55358000000,2026-01-29T08:11:18.903078
PAAS,Pan American Silver Corp.,65.92,1.61,2.5,10980000,6740000,27821000000,2026-01-29T08:11:18.903078
FLEX,Flex Ltd.,66.27,1.17,1.8,2630000,4976000,24782000000,2026-01-29T08:11:18.903078
FTI,TechnipFMC plc,55.25,-0.39,-0.7,2149000,2985000,22709000000,2026-01-29T08:11:18.903078
FIGR,"Figure Technology Solutions, Inc.",67.92,5.14,8.18,3599000,2865000,14533000000,2026-01-29T08:11:18.903078
CELH,"Celsius Holdings, Inc.",53.91,-1.6,-2.88,2460000,6214000,13897000000,2026-01-29T08:11:18.903078
AMKR,"Amkor Technology, Inc.",50.96,0.22,0.43,2914000,3734000,12597000000,2026-01-29T08:11:18.903078
MP,MP Materials Corp.,67.01,0.28,0.42,6526000,9402000,11876000000,2026-01-29T08:11:18.903078
CEF,Sprott Physical Gold and Silver Trust,59.11,0.72,1.23,3951000,1444000,11448000000,2026-01-29T08:11:18.903078
FROG,JFrog Ltd.,60.08,0.91,1.53,1227000,1973000,7108000000,2026-01-29T08:11:18.903078
CGON,"CG Oncology, Inc.",53.84,-1.26,-2.29,477296,1094000,4448000000,2026-01-29T08:11:18.903078
ACMR,"ACM Research, Inc.",55.79,1.84,3.41,792343,1370000,3619000000,2026-01-29T08:11:18.903078
JOYY,JOYY Inc.,67.19,-1.38,-2.01,297919,363798,3451000000,2026-01-29T08:11:18.903078
XMTR,"Xometry, Inc.",64.87,-0.35,-0.54,351415,741650,3324000000,2026-01-29T08:11:18.903078
CECO,CECO Environmental Corp.,69.58,-1.44,-2.03,396194,309680,2480000000,2026-01-29T08:11:18.903078
SEZL,Sezzle Inc.,69.32,1.48,2.18,814260,927445,2367000000,2026-01-29T08:11:18.903078
DNTH,"Dianthus Therapeutics, Inc.",50.5,0.19,0.38,408209,734585,2165000000,2026-01-29T08:11:18.903078
INOD,Innodata Inc.,55.84,-2.81,-4.79,1116000,1199000,1779000000,2026-01-29T08:11:18.903078
RAPT,"RAPT Therapeutics, Inc.",57.65,0.04,0.07,2922000,1071000,1670000000,2026-01-29T08:11:18.903078
