Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,Date
RKLB,Rocket Lab Corporation,61.51,3.01,5.15,29556000,22601000,29768000000,2025-10-08T06:47:42.421776
FLEX,Flex Ltd.,57.25,-0.03,-0.05,2657000,3783000,21409000000,2025-10-08T06:47:42.421776
CELH,"Celsius Holdings, Inc.",61.06,1.95,3.3,4217000,6066000,15740000000,2025-10-08T06:47:42.421776
HIMS,"Hims & Hers Health, Inc.",57.97,3.21,5.86,26103000,30148000,13102000000,2025-10-08T06:47:42.421776
PEGA,Pegasystems Inc.,55.05,-0.67,-1.2,982505,1551000,9418000000,2025-10-08T06:47:42.421776
TTMI,"TTM Technologies, Inc.",58.01,-1.87,-3.12,3034000,2533000,5993000000,2025-10-08T06:47:42.421776
CALX,"Calix, Inc.",58.68,-1.79,-2.96,544185,662015,3832000000,2025-10-08T06:47:42.421776
JOYY,JOYY Inc.,57.77,-0.57,-0.98,254971,382892,2967000000,2025-10-08T06:47:42.421776
TARS,"Tarsus Pharmaceuticals, Inc.",68.42,0.71,1.04,510414,684298,2888000000,2025-10-08T06:47:42.421776
XMTR,"Xometry, Inc.",53.2,0.45,0.85,573036,835704,2702000000,2025-10-08T06:47:42.421776
AMSC,American Superconductor Corporation,56.55,-4.43,-7.26,1790000,1161000,2554000000,2025-10-08T06:47:42.421776
SUPX,SuperX AI Technology Limited,69.94,-3.58,-4.87,367933,321601,1881000000,2025-10-08T06:47:42.421776
CECO,CECO Environmental Corp.,50.99,-2.11,-3.97,534550,478757,1801000000,2025-10-08T06:47:42.421776
BBW,"Build-A-Bear Workshop, Inc.",58.06,-1.95,-3.25,378684,337346,762105000,2025-10-08T06:47:42.421776
