,2023-06-30,2023-03-31,2022-12-31
OrdinarySharesNumber,90258109.0,90258109.0,77633255.0
ShareIssued,90258109.0,90258109.0,77633255.0
TangibleBookValue,55329262.0,57088682.0,36633459.0
InvestedCapital,55329262.0,57088682.0,36633459.0
WorkingCapital,14123412.0,20761498.0,5158844.0
NetTangibleAssets,55329262.0,57088682.0,36633459.0
CommonStockEquity,55329262.0,57088682.0,36633459.0
TotalCapitalization,55329262.0,57088682.0,36633459.0
TotalEquityGrossMinorityInterest,55329262.0,57088682.0,36633459.0
StockholdersEquity,55329262.0,57088682.0,36633459.0
OtherEquityInterest,16321564.0,16213852.0,13438836.0
RetainedEarnings,-41756715.0,-40202849.0,-38495042.0
CapitalStock,80764413.0,81077679.0,61689665.0
CommonStock,80764413.0,81077679.0,61689665.0
TotalLiabilitiesNetMinorityInterest,2446694.0,3432420.0,2360136.0
TotalNonCurrentLiabilitiesNetMinorityInterest,339302.0,346516.0,346804.0
LongTermProvisions,339302.0,346516.0,346804.0
CurrentLiabilities,2107392.0,3085904.0,2013332.0
PayablesAndAccruedExpenses,2107392.0,3085904.0,2013332.0
Payables,2107392.0,3085904.0,2013332.0
DuetoRelatedPartiesCurrent,29501.0,12222.0,10675.0
AccountsPayable,2077891.0,3073682.0,2002657.0
TotalAssets,57775956.0,60521102.0,38993595.0
TotalNonCurrentAssets,41545152.0,36673700.0,31821419.0
NonCurrentNoteReceivables,1185690.0,1167246.0,1126550.0
InvestmentsAndAdvances,99359.0,67647.0,67704.0
InvestmentinFinancialAssets,99359.0,67647.0,67704.0
HeldToMaturitySecurities,99359.0,67647.0,67704.0
NetPPE,40260103.0,35438807.0,30627165.0
AccumulatedDepreciation,-409508.0,-321175.0,-238369.0
GrossPPE,40669611.0,35759982.0,30865534.0
OtherProperties,23806835.0,19866678.0,18622284.0
MachineryFurnitureEquipment,16598498.0,15637279.0,12068971.0
LandAndImprovements,264278.0,256025.0,174279.0
CurrentAssets,16230804.0,23847402.0,7172176.0
PrepaidAssets,637481.0,329612.0,338661.0
Receivables,594991.0,674609.0,598541.0
AccountsReceivable,594991.0,674609.0,598541.0
CashCashEquivalentsAndShortTermInvestments,14998332.0,22843181.0,6234974.0
OtherShortTermInvestments,125190.0,180923.0,472500.0
CashAndCashEquivalents,14873142.0,22662258.0,5762474.0
