,2023-06-30
OrdinarySharesNumber,2017968175.0
ShareIssued,2017968175.0
TotalDebt,1447000.0
TangibleBookValue,46107000.0
InvestedCapital,60879000.0
WorkingCapital,46089000.0
NetTangibleAssets,46107000.0
CapitalLeaseObligations,1447000.0
CommonStockEquity,60879000.0
TotalCapitalization,60879000.0
TotalEquityGrossMinorityInterest,60879000.0
StockholdersEquity,60879000.0
GainsLossesNotAffectingRetainedEarnings,35954000.0
OtherEquityAdjustments,27908000.0
ForeignCurrencyTranslationAdjustments,8046000.0
RetainedEarnings,-311162000.0
CapitalStock,336087000.0
CommonStock,336087000.0
TotalLiabilitiesNetMinorityInterest,7857000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,2011000.0
OtherNonCurrentLiabilities,422000.0
EmployeeBenefits,415000.0
NonCurrentPensionAndOtherPostretirementBenefitPlans,415000.0
LongTermDebtAndCapitalLeaseObligation,1147000.0
LongTermCapitalLeaseObligation,1147000.0
LongTermProvisions,27000.0
CurrentLiabilities,5846000.0
OtherCurrentLiabilities,1031000.0
CurrentDebtAndCapitalLeaseObligation,300000.0
CurrentCapitalLeaseObligation,300000.0
PensionandOtherPostRetirementBenefitPlansCurrent,2229000.0
CurrentProvisions,59000.0
PayablesAndAccruedExpenses,2227000.0
Payables,2227000.0
OtherPayable,872000.0
AccountsPayable,1355000.0
TotalAssets,68736000.0
TotalNonCurrentAssets,16801000.0
InvestmentsAndAdvances,78000.0
OtherInvestments,78000.0
GoodwillAndOtherIntangibleAssets,14772000.0
OtherIntangibleAssets,12042000.0
Goodwill,2730000.0
NetPPE,1951000.0
AccumulatedDepreciation,-3666000.0
GrossPPE,5617000.0
Leases,191000.0
OtherProperties,3333000.0
MachineryFurnitureEquipment,2093000.0
CurrentAssets,51935000.0
OtherCurrentAssets,541000.0
PrepaidAssets,1031000.0
Inventory,810000.0
InventoriesAdjustmentsAllowances,-501000.0
OtherInventories,20000.0
FinishedGoods,676000.0
RawMaterials,615000.0
Receivables,3843000.0
ReceivablesAdjustmentsAllowances,-312000.0
OtherReceivables,1759000.0
AccountsReceivable,2396000.0
CashCashEquivalentsAndShortTermInvestments,45710000.0
CashAndCashEquivalents,45710000.0
CashEquivalents,13548000.0
CashFinancial,32162000.0
