,2022-12-31
OrdinarySharesNumber,1532794.0
ShareIssued,1532794.0
NetDebt,1404000.0
TotalDebt,2092000.0
TangibleBookValue,-7353000.0
InvestedCapital,-5654000.0
WorkingCapital,-7120000.0
NetTangibleAssets,-7353000.0
CapitalLeaseObligations,393000.0
CommonStockEquity,-7353000.0
TotalCapitalization,-7300000.0
TotalEquityGrossMinorityInterest,-4571000.0
MinorityInterest,2782000.0
StockholdersEquity,-7353000.0
GainsLossesNotAffectingRetainedEarnings,1502000.0
OtherEquityAdjustments,1500000.0
ForeignCurrencyTranslationAdjustments,2000.0
TreasuryStock,121000.0
RetainedEarnings,-115263000.0
AdditionalPaidInCapital,101694000.0
CapitalStock,4835000.0
CommonStock,4835000.0
TotalLiabilitiesNetMinorityInterest,9396000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,283000.0
LongTermDebtAndCapitalLeaseObligation,283000.0
LongTermCapitalLeaseObligation,230000.0
LongTermDebt,53000.0
CurrentLiabilities,9113000.0
OtherCurrentLiabilities,618000.0
CurrentDebtAndCapitalLeaseObligation,1809000.0
CurrentCapitalLeaseObligation,163000.0
CurrentDebt,1646000.0
OtherCurrentBorrowings,1646000.0
PayablesAndAccruedExpenses,6686000.0
Payables,6686000.0
OtherPayable,2031000.0
AccountsPayable,4655000.0
TotalAssets,4825000.0
TotalNonCurrentAssets,2832000.0
NonCurrentAccountsReceivable,185000.0
NetPPE,2647000.0
AccumulatedDepreciation,-2927000.0
GrossPPE,5574000.0
Leases,53000.0
OtherProperties,1689000.0
MachineryFurnitureEquipment,3832000.0
Properties,0.0
CurrentAssets,1993000.0
RestrictedCash,142000.0
PrepaidAssets,320000.0
Inventory,292000.0
FinishedGoods,260000.0
RawMaterials,32000.0
Receivables,944000.0
OtherReceivables,121000.0
LoansReceivable,230000.0
AccountsReceivable,593000.0
AllowanceForDoubtfulAccountsReceivable,-450000.0
GrossAccountsReceivable,1043000.0
CashCashEquivalentsAndShortTermInvestments,295000.0
CashAndCashEquivalents,295000.0
