,2023-06-30
OrdinarySharesNumber,1447759871.0
ShareIssued,1447759871.0
TotalDebt,723537.0
TangibleBookValue,220399161.0
InvestedCapital,220832618.0
WorkingCapital,4952828.0
NetTangibleAssets,220399161.0
CapitalLeaseObligations,723537.0
CommonStockEquity,220832618.0
TotalCapitalization,220832618.0
TotalEquityGrossMinorityInterest,220832618.0
StockholdersEquity,220832618.0
GainsLossesNotAffectingRetainedEarnings,11675016.0
OtherEquityAdjustments,11426055.0
ForeignCurrencyTranslationAdjustments,248961.0
RetainedEarnings,-142163884.0
CapitalStock,351321486.0
CommonStock,351321486.0
TotalLiabilitiesNetMinorityInterest,34624385.0
TotalNonCurrentLiabilitiesNetMinorityInterest,13772848.0
EmployeeBenefits,207846.0
NonCurrentPensionAndOtherPostretirementBenefitPlans,207846.0
LongTermDebtAndCapitalLeaseObligation,299763.0
LongTermCapitalLeaseObligation,299763.0
LongTermProvisions,13265239.0
CurrentLiabilities,20851537.0
OtherCurrentLiabilities,1396342.0
CurrentDebtAndCapitalLeaseObligation,423774.0
CurrentCapitalLeaseObligation,423774.0
PensionandOtherPostRetirementBenefitPlansCurrent,598716.0
PayablesAndAccruedExpenses,18432705.0
Payables,18432705.0
OtherPayable,10527491.0
AccountsPayable,7905214.0
TotalAssets,255457003.0
TotalNonCurrentAssets,229652638.0
OtherNonCurrentAssets,2263629.0
GoodwillAndOtherIntangibleAssets,433457.0
OtherIntangibleAssets,433457.0
NetPPE,226955552.0
AccumulatedDepreciation,-1712026.0
GrossPPE,228667578.0
Leases,773899.0
OtherProperties,227893679.0
CurrentAssets,25804365.0
AssetsHeldForSaleCurrent,13300919.0
PrepaidAssets,479086.0
Receivables,1381621.0
OtherReceivables,1381621.0
CashCashEquivalentsAndShortTermInvestments,10642739.0
CashAndCashEquivalents,10642739.0
CashFinancial,10642739.0
