,2023-09-30,2023-06-30,2023-03-31
OrdinarySharesNumber,64861843.0,57363287.0,57387287.0
ShareIssued,64861843.0,57363287.0,57387287.0
NetDebt,1305532.0,1342084.0,1147946.0
TotalDebt,2354271.0,2252796.0,2104034.0
TangibleBookValue,-1227866.0,-1419080.0,-618801.0
InvestedCapital,374029.0,161613.0,773991.0
WorkingCapital,-2741388.0,-3316682.0,-2379480.0
NetTangibleAssets,-1227866.0,-1419080.0,-618801.0
CapitalLeaseObligations,984748.0,910712.0,956088.0
CommonStockEquity,-995494.0,-1180471.0,-373955.0
TotalCapitalization,374029.0,-93121.0,698498.0
TotalEquityGrossMinorityInterest,-995494.0,-1180471.0,-373955.0
StockholdersEquity,-995494.0,-1180471.0,-373955.0
OtherEquityInterest,1673116.0,1497122.0,1497122.0
GainsLossesNotAffectingRetainedEarnings,37666.0,21209.0,20839.0
OtherEquityAdjustments,37666.0,21209.0,20839.0
RetainedEarnings,-14236282.0,-13681021.0,-12874135.0
AdditionalPaidInCapital,366164.0,366164.0,366164.0
CapitalStock,11163842.0,10616055.0,10616055.0
CommonStock,11163842.0,10616055.0,10616055.0
TotalLiabilitiesNetMinorityInterest,5213916.0,5433973.0,4830217.0
TotalNonCurrentLiabilitiesNetMinorityInterest,2280484.0,1963472.0,1993951.0
LongTermDebtAndCapitalLeaseObligation,2280484.0,1963472.0,1993951.0
LongTermCapitalLeaseObligation,910961.0,876122.0,921498.0
LongTermDebt,1369523.0,1087350.0,1072453.0
CurrentLiabilities,2933432.0,3470501.0,2836266.0
OtherCurrentLiabilities,,3000.0,3000.0
CurrentDebtAndCapitalLeaseObligation,73787.0,289324.0,110083.0
CurrentCapitalLeaseObligation,73787.0,34590.0,34590.0
CurrentDebt,,254734.0,75493.0
OtherCurrentBorrowings,,224299.0,69102.0
LineOfCredit,0.0,30435.0,6391.0
PayablesAndAccruedExpenses,2859645.0,3181177.0,2726183.0
CurrentAccruedExpenses,206345.0,162945.0,120945.0
InterestPayable,206345.0,162945.0,120945.0
Payables,2653300.0,3018232.0,2605238.0
OtherPayable,3000.0,3000.0,3000.0
DuetoRelatedPartiesCurrent,56288.0,55288.0,
AccountsPayable,2594012.0,2959944.0,2602238.0
TotalAssets,4218422.0,4253502.0,4456262.0
TotalNonCurrentAssets,4026378.0,4099683.0,3999475.0
OtherNonCurrentAssets,200392.0,196802.0,196649.0
NonCurrentPrepaidAssets,27086.0,79000.0,79000.0
GoodwillAndOtherIntangibleAssets,232372.0,238609.0,244846.0
NetPPE,3566528.0,3585272.0,3478980.0
AccumulatedDepreciation,-431566.0,-374737.0,-321235.0
GrossPPE,3998094.0,3960009.0,3800215.0
Leases,1232655.0,1232655.0,1232655.0
ConstructionInProgress,1377825.0,1339741.0,1179947.0
OtherProperties,973827.0,973827.0,973827.0
MachineryFurnitureEquipment,127798.0,127797.0,127797.0
BuildingsAndImprovements,196597.0,196597.0,196597.0
LandAndImprovements,89392.0,89392.0,89392.0
Properties,0.0,0.0,0.0
CurrentAssets,192044.0,153819.0,456786.0
PrepaidAssets,69484.0,75924.0,302121.0
Receivables,58569.0,77895.0,154665.0
OtherReceivables,655.0,8557.0,8557.0
TaxesReceivable,50402.0,51648.0,130873.0
AccountsReceivable,7512.0,17690.0,15235.0
CashCashEquivalentsAndShortTermInvestments,63991.0,,
CashAndCashEquivalents,63991.0,,
CashFinancial,63991.0,,
