,2023-06-30,2023-03-31,2022-12-31
OrdinarySharesNumber,66322140.0,60822140.0,60822140.0
ShareIssued,66322140.0,60822140.0,60822140.0
NetDebt,254679.0,160986.0,252266.0
TotalDebt,271765.0,265786.0,253238.0
TangibleBookValue,-35001.0,161612.0,155920.0
InvestedCapital,278166.0,427398.0,409158.0
WorkingCapital,-188210.0,-182109.0,-266887.0
NetTangibleAssets,-35001.0,161612.0,155920.0
CommonStockEquity,6401.0,161612.0,155920.0
TotalCapitalization,114037.0,161612.0,155920.0
TotalEquityGrossMinorityInterest,6401.0,161612.0,155920.0
StockholdersEquity,6401.0,161612.0,155920.0
OtherEquityInterest,9000.0,9000.0,9000.0
RetainedEarnings,-19619047.0,-19205836.0,-19211528.0
AdditionalPaidInCapital,19609816.0,19357840.0,19357840.0
CapitalStock,6632.0,608.0,608.0
CommonStock,6632.0,608.0,608.0
PreferredStock,0.0,0.0,0.0
TotalLiabilitiesNetMinorityInterest,329925.0,294938.0,277745.0
TotalNonCurrentLiabilitiesNetMinorityInterest,107636.0,0.0,0.0
LongTermDebtAndCapitalLeaseObligation,107636.0,,
LongTermDebt,107636.0,,
CurrentLiabilities,222289.0,294938.0,277745.0
CurrentDebtAndCapitalLeaseObligation,164129.0,265786.0,253238.0
CurrentDebt,164129.0,265786.0,253238.0
OtherCurrentBorrowings,,63875.0,47122.0
CurrentNotesPayable,164129.0,201911.0,206116.0
PayablesAndAccruedExpenses,58160.0,29152.0,24507.0
Payables,,,24507.0
AccountsPayable,,,24507.0
TotalAssets,336326.0,456550.0,433665.0
TotalNonCurrentAssets,302247.0,343721.0,422807.0
OtherNonCurrentAssets,194229.0,275632.0,350712.0
GoodwillAndOtherIntangibleAssets,41402.0,,
OtherIntangibleAssets,41402.0,,
NetPPE,66616.0,68089.0,72095.0
AccumulatedDepreciation,-10143.0,,
GrossPPE,76759.0,68089.0,72095.0
ConstructionInProgress,,,72095.0
OtherProperties,,68089.0,
Properties,76759.0,,
CurrentAssets,34079.0,112829.0,10858.0
PrepaidAssets,9205.0,8029.0,9886.0
Inventory,7788.0,,
CashCashEquivalentsAndShortTermInvestments,17086.0,104800.0,972.0
CashAndCashEquivalents,17086.0,104800.0,972.0
