,2023-09-30
TotalDebt,24000.0
TangibleBookValue,28105.49
InvestedCapital,52105.49
WorkingCapital,28105.49
NetTangibleAssets,28105.49
CommonStockEquity,28105.49
TotalCapitalization,28105.49
TotalEquityGrossMinorityInterest,28105.49
StockholdersEquity,28105.49
OtherEquityInterest,362000.0
RetainedEarnings,-684044.51
AdditionalPaidInCapital,265304.0
CapitalStock,84846.0
CommonStock,84846.0
TotalLiabilitiesNetMinorityInterest,24000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,0.0
CurrentLiabilities,24000.0
CurrentDebtAndCapitalLeaseObligation,24000.0
CurrentDebt,24000.0
CurrentNotesPayable,24000.0
TotalAssets,52105.49
TotalNonCurrentAssets,0.0
CurrentAssets,52105.49
CashCashEquivalentsAndShortTermInvestments,52105.49
CashAndCashEquivalents,52105.49
CashFinancial,52105.49
