,2023-12-31
OrdinarySharesNumber,907266067.0
ShareIssued,907266067.0
TotalDebt,8357000.0
TangibleBookValue,334233000.0
InvestedCapital,335498000.0
WorkingCapital,166791000.0
NetTangibleAssets,334233000.0
CapitalLeaseObligations,7092000.0
CommonStockEquity,334233000.0
TotalCapitalization,334233000.0
TotalEquityGrossMinorityInterest,334233000.0
StockholdersEquity,334233000.0
GainsLossesNotAffectingRetainedEarnings,27815000.0
OtherEquityAdjustments,27815000.0
RetainedEarnings,-13152000.0
CapitalStock,319570000.0
CommonStock,319570000.0
TotalLiabilitiesNetMinorityInterest,58703000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,31866000.0
EmployeeBenefits,728000.0
NonCurrentPensionAndOtherPostretirementBenefitPlans,728000.0
LongTermDebtAndCapitalLeaseObligation,4327000.0
LongTermCapitalLeaseObligation,4327000.0
LongTermProvisions,26811000.0
CurrentLiabilities,26837000.0
CurrentDebtAndCapitalLeaseObligation,4030000.0
CurrentCapitalLeaseObligation,2765000.0
CurrentDebt,1265000.0
OtherCurrentBorrowings,1265000.0
PensionandOtherPostRetirementBenefitPlansCurrent,6402000.0
CurrentProvisions,5000.0
PayablesAndAccruedExpenses,16400000.0
Payables,16400000.0
OtherPayable,7511000.0
AccountsPayable,8889000.0
TotalAssets,392936000.0
TotalNonCurrentAssets,199308000.0
OtherNonCurrentAssets,12923000.0
NonCurrentDeferredAssets,26307000.0
NonCurrentDeferredTaxesAssets,26307000.0
NonCurrentAccountsReceivable,3457000.0
InvestmentsAndAdvances,2374000.0
LongTermEquityInvestment,2374000.0
InvestmentsinAssociatesatCost,2374000.0
NetPPE,154247000.0
AccumulatedDepreciation,-48824000.0
GrossPPE,203071000.0
ConstructionInProgress,18837000.0
OtherProperties,352000.0
MachineryFurnitureEquipment,75758000.0
LandAndImprovements,28313000.0
Properties,79811000.0
CurrentAssets,193628000.0
OtherCurrentAssets,1080000.0
HedgingAssetsCurrent,3625000.0
PrepaidAssets,1604000.0
Inventory,28591000.0
InventoriesAdjustmentsAllowances,-1563000.0
FinishedGoods,4127000.0
WorkInProcess,15020000.0
RawMaterials,11007000.0
Receivables,15686000.0
OtherReceivables,3318000.0
AccountsReceivable,12368000.0
CashCashEquivalentsAndShortTermInvestments,143042000.0
CashAndCashEquivalents,143042000.0
CashEquivalents,100000000.0
CashFinancial,43042000.0
