,2023-06-30
OrdinarySharesNumber,336915405.0
ShareIssued,336915405.0
TotalDebt,749427.0
TangibleBookValue,116448409.0
InvestedCapital,116448409.0
WorkingCapital,38445085.0
NetTangibleAssets,116448409.0
CapitalLeaseObligations,749427.0
CommonStockEquity,116448409.0
TotalCapitalization,116448409.0
TotalEquityGrossMinorityInterest,116448409.0
StockholdersEquity,116448409.0
GainsLossesNotAffectingRetainedEarnings,7079234.0
OtherEquityAdjustments,8047856.0
ForeignCurrencyTranslationAdjustments,-968622.0
RetainedEarnings,-19462605.0
CapitalStock,128831780.0
CommonStock,128831780.0
TotalLiabilitiesNetMinorityInterest,11593137.0
TotalNonCurrentLiabilitiesNetMinorityInterest,4354070.0
LongTermDebtAndCapitalLeaseObligation,605715.0
LongTermCapitalLeaseObligation,605715.0
LongTermProvisions,3748355.0
CurrentLiabilities,7239067.0
OtherCurrentLiabilities,-9.0
CurrentDebtAndCapitalLeaseObligation,143712.0
CurrentCapitalLeaseObligation,143712.0
CurrentProvisions,161757.0
PayablesAndAccruedExpenses,6933607.0
Payables,6933607.0
OtherPayable,4727498.0
AccountsPayable,2206109.0
TotalAssets,128041546.0
TotalNonCurrentAssets,82357394.0
OtherNonCurrentAssets,-1.0
InvestmentsAndAdvances,2602665.0
OtherInvestments,224077.0
InvestmentinFinancialAssets,2378588.0
TradingSecurities,2378588.0
NetPPE,79754730.0
AccumulatedDepreciation,-276753.0
GrossPPE,80031483.0
OtherProperties,72078498.0
MachineryFurnitureEquipment,7952985.0
CurrentAssets,45684152.0
Receivables,533610.0
OtherReceivables,533610.0
CashCashEquivalentsAndShortTermInvestments,45150542.0
CashAndCashEquivalents,45150542.0
CashEquivalents,27000000.0
CashFinancial,18150542.0
