,2022-12-31
OrdinarySharesNumber,532747383.0
ShareIssued,532747383.0
NetDebt,42118000.0
TotalDebt,72378000.0
TangibleBookValue,26488000.0
InvestedCapital,98405000.0
WorkingCapital,97027999.9999
NetTangibleAssets,26488000.0
CapitalLeaseObligations,461000.0
CommonStockEquity,26488000.0
TotalCapitalization,98405000.0
TotalEquityGrossMinorityInterest,26488000.0
StockholdersEquity,26488000.0
GainsLossesNotAffectingRetainedEarnings,19883000.0
OtherEquityAdjustments,19883000.0
RetainedEarnings,-124960000.0
CapitalStock,131565000.0
CommonStock,131565000.0
TotalLiabilitiesNetMinorityInterest,77197999.9999
TotalNonCurrentLiabilitiesNetMinorityInterest,72095999.9999
LongTermDebtAndCapitalLeaseObligation,72096000.0
LongTermCapitalLeaseObligation,179000.0
LongTermDebt,71917000.0
CurrentLiabilities,5102000.0
CurrentDebtAndCapitalLeaseObligation,282000.0
CurrentCapitalLeaseObligation,282000.0
PensionandOtherPostRetirementBenefitPlansCurrent,524000.0
CurrentProvisions,1389000.0
PayablesAndAccruedExpenses,2907000.0
Payables,2907000.0
OtherPayable,1143000.0
AccountsPayable,1764000.0
TotalAssets,103686000.0
TotalNonCurrentAssets,1556000.0001
NonCurrentAccountsReceivable,1045000.0
NetPPE,511000.0
GrossPPE,511000.0
OtherProperties,419000.0
MachineryFurnitureEquipment,92000.0
CurrentAssets,102129999.9999
OtherCurrentAssets,1017000.0
Receivables,71114000.0
AccountsReceivable,71114000.0
CashCashEquivalentsAndShortTermInvestments,29999000.0
OtherShortTermInvestments,200000.0
CashAndCashEquivalents,29799000.0
CashFinancial,29799000.0
