,2023-06-30
OrdinarySharesNumber,800966235.0
ShareIssued,800966235.0
TotalDebt,7272000.0
TangibleBookValue,167333000.0
InvestedCapital,173579000.0
WorkingCapital,-35126000.0
NetTangibleAssets,167333000.0
CapitalLeaseObligations,1026000.0
CommonStockEquity,167333000.0
TotalCapitalization,170802000.0
TotalEquityGrossMinorityInterest,167849000.0
MinorityInterest,516000.0
StockholdersEquity,167333000.0
GainsLossesNotAffectingRetainedEarnings,22927000.0
OtherEquityAdjustments,828000.0
ForeignCurrencyTranslationAdjustments,22099000.0
RetainedEarnings,-231605000.0
CapitalStock,376011000.0
CommonStock,376011000.0
TotalLiabilitiesNetMinorityInterest,188355000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,74522000.0
NonCurrentDeferredLiabilities,9273000.0
NonCurrentDeferredTaxesLiabilities,9273000.0
LongTermDebtAndCapitalLeaseObligation,3469000.0
LongTermDebt,3469000.0
LongTermProvisions,61780000.0
CurrentLiabilities,113833000.0
CurrentDeferredLiabilities,64396000.0
CurrentDeferredTaxesLiabilities,64396000.0
CurrentDebtAndCapitalLeaseObligation,3803000.0
CurrentCapitalLeaseObligation,1026000.0
CurrentDebt,2777000.0
OtherCurrentBorrowings,2777000.0
PensionandOtherPostRetirementBenefitPlansCurrent,6490000.0
PayablesAndAccruedExpenses,39144000.0
Payables,39144000.0
AccountsPayable,39144000.0
TotalAssets,356204000.0
TotalNonCurrentAssets,277497000.0
OtherNonCurrentAssets,83631000.0
NonCurrentAccountsReceivable,5933000.0
InvestmentsAndAdvances,82595000.0
OtherInvestments,2661000.0
LongTermEquityInvestment,79934000.0
InvestmentsinAssociatesatCost,79934000.0
NetPPE,105338000.0
AccumulatedDepreciation,-135147000.0
GrossPPE,240485000.0
ConstructionInProgress,4502000.0
OtherProperties,19025000.0
MachineryFurnitureEquipment,45052000.0
LandAndImprovements,6331000.0
Properties,165575000.0
CurrentAssets,78707000.0
Inventory,15566000.0
OtherInventories,15566000.0
Receivables,19109000.0
OtherReceivables,9997000.0
AccountsReceivable,9112000.0
CashCashEquivalentsAndShortTermInvestments,44032000.0
CashAndCashEquivalents,44032000.0
CashFinancial,44032000.0
