,2023-06-30
OrdinarySharesNumber,1040295102.0
ShareIssued,1040295102.0
NetDebt,1362578.0
TotalDebt,6309995.0
TangibleBookValue,128367705.0001
InvestedCapital,133954160.0001
WorkingCapital,4823424.0001
NetTangibleAssets,128367705.0001
CapitalLeaseObligations,723540.0
CommonStockEquity,128367705.0001
TotalCapitalization,131760005.0001
TotalEquityGrossMinorityInterest,128367705.0001
StockholdersEquity,128367705.0001
GainsLossesNotAffectingRetainedEarnings,8009801.0
OtherEquityAdjustments,8037559.0
ForeignCurrencyTranslationAdjustments,-27758.0
RetainedEarnings,-18759166.0
CapitalStock,139117070.0
CommonStock,139117070.0
TotalLiabilitiesNetMinorityInterest,16121977.9999
TotalNonCurrentLiabilitiesNetMinorityInterest,9585692.0
EmployeeBenefits,115483.0
NonCurrentPensionAndOtherPostretirementBenefitPlans,115483.0
TradeandOtherPayablesNonCurrent,325000.0
LongTermDebtAndCapitalLeaseObligation,3609936.0
LongTermCapitalLeaseObligation,217636.0
LongTermDebt,3392300.0
LongTermProvisions,5535273.0
CurrentLiabilities,6536285.9999
CurrentDebtAndCapitalLeaseObligation,2700059.0
CurrentCapitalLeaseObligation,505904.0
CurrentDebt,2194155.0
CurrentNotesPayable,2194155.0
PensionandOtherPostRetirementBenefitPlansCurrent,190878.0
PayablesAndAccruedExpenses,3645349.0
Payables,3645349.0
OtherPayable,1875761.0
AccountsPayable,1769588.0
TotalAssets,144489683.0
TotalNonCurrentAssets,133129973.0
NonCurrentAccountsReceivable,15021.0
InvestmentsAndAdvances,3054542.0
OtherInvestments,3054542.0
NetPPE,130060410.0
AccumulatedDepreciation,-126344.0
GrossPPE,130186754.0
OtherProperties,2069865.0
MachineryFurnitureEquipment,131569.0
LandAndImprovements,9685.0
Properties,127975635.0
CurrentAssets,11359710.0
OtherCurrentAssets,5781.0
PrepaidAssets,2765564.0
Receivables,4364488.0
OtherReceivables,424737.0
AccountsReceivable,3939751.0
CashCashEquivalentsAndShortTermInvestments,4223877.0
CashAndCashEquivalents,4223877.0
CashFinancial,4223877.0
