,2023-03-31
OrdinarySharesNumber,31048371.0
ShareIssued,31048371.0
TotalDebt,133279.0
TangibleBookValue,8596131.0
InvestedCapital,8596131.0
WorkingCapital,8477512.0
NetTangibleAssets,8596131.0
CapitalLeaseObligations,133279.0
CommonStockEquity,8596131.0
TotalCapitalization,8596131.0
TotalEquityGrossMinorityInterest,8596131.0
MinorityInterest,0.0
StockholdersEquity,8596131.0
OtherEquityInterest,16373396.0
GainsLossesNotAffectingRetainedEarnings,16128683.0
OtherEquityAdjustments,16128683.0
TreasuryStock,353816.0
RetainedEarnings,-40245874.0
AdditionalPaidInCapital,33064033.0
CapitalStock,3105.0
CommonStock,3105.0
TotalLiabilitiesNetMinorityInterest,47482359.0
TotalNonCurrentLiabilitiesNetMinorityInterest,40113.0
LongTermDebtAndCapitalLeaseObligation,40113.0
LongTermCapitalLeaseObligation,40113.0
CurrentLiabilities,47442246.0
CurrentDebtAndCapitalLeaseObligation,93166.0
CurrentCapitalLeaseObligation,93166.0
PayablesAndAccruedExpenses,47349080.0
Payables,47349080.0
OtherPayable,12656539.0
DuetoRelatedPartiesCurrent,22854211.0
TotalTaxPayable,226096.0
AccountsPayable,11612234.0
TotalAssets,56078490.0
TotalNonCurrentAssets,158732.0
OtherNonCurrentAssets,29378.0
NetPPE,129354.0
AccumulatedDepreciation,-136318.0
GrossPPE,265672.0
Leases,253373.0
MachineryFurnitureEquipment,12299.0
Properties,0.0
CurrentAssets,55919758.0
OtherCurrentAssets,41113238.0
RestrictedCash,5110220.0
PrepaidAssets,62052.0
Receivables,163616.0
OtherReceivables,163616.0
LoansReceivable,0.0
CashCashEquivalentsAndShortTermInvestments,9470632.0
OtherShortTermInvestments,2722517.0
CashAndCashEquivalents,6748115.0
CashFinancial,6748115.0
