,2023-07-31
OrdinarySharesNumber,863086674.0
ShareIssued,863086674.0
NetDebt,10844000.0
TotalDebt,24470000.0
TangibleBookValue,-5381000.0
InvestedCapital,14128000.0
WorkingCapital,-9693000.0
NetTangibleAssets,-5381000.0
CapitalLeaseObligations,11860000.0
CommonStockEquity,1518000.0
TotalCapitalization,2044000.0
TotalEquityGrossMinorityInterest,1518000.0
StockholdersEquity,1518000.0
GainsLossesNotAffectingRetainedEarnings,476000.0
OtherEquityAdjustments,476000.0
RetainedEarnings,-291878000.0
CapitalStock,292920000.0
CommonStock,292920000.0
TotalLiabilitiesNetMinorityInterest,33085000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,12557000.0
EmployeeBenefits,9000.0
NonCurrentPensionAndOtherPostretirementBenefitPlans,9000.0
NonCurrentDeferredLiabilities,738000.0
NonCurrentDeferredTaxesLiabilities,738000.0
LongTermDebtAndCapitalLeaseObligation,11810000.0
LongTermCapitalLeaseObligation,11284000.0
LongTermDebt,526000.0
CurrentLiabilities,20528000.0
OtherCurrentLiabilities,3609000.0
CurrentDeferredLiabilities,114000.0
CurrentDeferredRevenue,114000.0
CurrentDebtAndCapitalLeaseObligation,12660000.0
CurrentCapitalLeaseObligation,576000.0
CurrentDebt,12084000.0
OtherCurrentBorrowings,12084000.0
PensionandOtherPostRetirementBenefitPlansCurrent,460000.0
CurrentProvisions,280000.0
PayablesAndAccruedExpenses,3405000.0
Payables,3405000.0
AccountsPayable,3405000.0
TotalAssets,34603000.0
TotalNonCurrentAssets,23768000.0
InvestmentsAndAdvances,2935000.0
OtherInvestments,2935000.0
GoodwillAndOtherIntangibleAssets,6899000.0
OtherIntangibleAssets,2832000.0
Goodwill,4067000.0
NetPPE,13934000.0
AccumulatedDepreciation,-2266000.0
GrossPPE,16200000.0
Leases,951000.0
OtherProperties,12252000.0
MachineryFurnitureEquipment,2997000.0
CurrentAssets,10835000.0
OtherCurrentAssets,208000.0
AssetsHeldForSaleCurrent,3119000.0
Inventory,4905000.0
InventoriesAdjustmentsAllowances,-1439000.0
FinishedGoods,6344000.0
Receivables,837000.0
ReceivablesAdjustmentsAllowances,-2000.0
OtherReceivables,28000.0
AccountsReceivable,811000.0
CashCashEquivalentsAndShortTermInvestments,1766000.0
CashAndCashEquivalents,1766000.0
CashFinancial,1766000.0
