,2023-03-31
OrdinarySharesNumber,14000000.0
ShareIssued,14000000.0
TotalDebt,251000.0
TangibleBookValue,3277000.0
InvestedCapital,3341000.0
WorkingCapital,2933000.0
NetTangibleAssets,3277000.0
CapitalLeaseObligations,251000.0
CommonStockEquity,3341000.0
TotalCapitalization,3341000.0
TotalEquityGrossMinorityInterest,3341000.0
StockholdersEquity,3341000.0
GainsLossesNotAffectingRetainedEarnings,-17000.0
RetainedEarnings,-1428000.0
AdditionalPaidInCapital,4785000.0
CapitalStock,1000.0
CommonStock,1000.0
TotalLiabilitiesNetMinorityInterest,6886000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,95000.0
LongTermDebtAndCapitalLeaseObligation,95000.0
LongTermCapitalLeaseObligation,95000.0
CurrentLiabilities,6791000.0
CurrentDeferredLiabilities,120000.0
CurrentDeferredRevenue,120000.0
CurrentDebtAndCapitalLeaseObligation,156000.0
CurrentCapitalLeaseObligation,156000.0
PayablesAndAccruedExpenses,6515000.0
CurrentAccruedExpenses,163000.0
Payables,6352000.0
DuetoRelatedPartiesCurrent,6000.0
AccountsPayable,6346000.0
TotalAssets,10227000.0
TotalNonCurrentAssets,503000.0
NonCurrentPrepaidAssets,156000.0
GoodwillAndOtherIntangibleAssets,64000.0
NetPPE,283000.0
AccumulatedDepreciation,-51000.0
GrossPPE,334000.0
Leases,33000.0
MachineryFurnitureEquipment,50000.0
BuildingsAndImprovements,251000.0
Properties,0.0
CurrentAssets,9724000.0
OtherCurrentAssets,9000.0
CurrentDeferredAssets,343000.0
RestrictedCash,5589000.0
PrepaidAssets,161000.0
Receivables,1697000.0
OtherReceivables,303000.0
DuefromRelatedPartiesCurrent,115000.0
LoansReceivable,0.0
AccountsReceivable,1279000.0
AllowanceForDoubtfulAccountsReceivable,-223000.0
GrossAccountsReceivable,1502000.0
CashCashEquivalentsAndShortTermInvestments,1925000.0
CashAndCashEquivalents,1925000.0
