,2023-06-30
OrdinarySharesNumber,2202255000.0
ShareIssued,2202255000.0
TotalDebt,121273000.0
TangibleBookValue,449736000.0
InvestedCapital,564970000.0
WorkingCapital,248425000.0
NetTangibleAssets,449736000.0
CapitalLeaseObligations,6039000.0
CommonStockEquity,449736000.0
TotalCapitalization,564928000.0
TotalEquityGrossMinorityInterest,449736000.0
StockholdersEquity,449736000.0
GainsLossesNotAffectingRetainedEarnings,6228000.0
OtherEquityAdjustments,5877000.0
FixedAssetsRevaluationReserve,212000.0
ForeignCurrencyTranslationAdjustments,139000.0
RetainedEarnings,-133226000.0
CapitalStock,576734000.0
CommonStock,576734000.0
TotalLiabilitiesNetMinorityInterest,205420000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,129585000.0
EmployeeBenefits,27000.0
NonCurrentPensionAndOtherPostretirementBenefitPlans,27000.0
LongTermDebtAndCapitalLeaseObligation,120021000.0
LongTermCapitalLeaseObligation,4829000.0
LongTermDebt,115192000.0
LongTermProvisions,9537000.0
CurrentLiabilities,75835000.0
CurrentDebtAndCapitalLeaseObligation,1252000.0
CurrentCapitalLeaseObligation,1210000.0
CurrentDebt,42000.0
OtherCurrentBorrowings,42000.0
PensionandOtherPostRetirementBenefitPlansCurrent,1094000.0
PayablesAndAccruedExpenses,73489000.0
Payables,73489000.0
OtherPayable,70724000.0
AccountsPayable,2765000.0
TotalAssets,655156000.0
TotalNonCurrentAssets,330896000.0
InvestmentsAndAdvances,1437000.0
OtherInvestments,85000.0
InvestmentinFinancialAssets,1352000.0
TradingSecurities,1352000.0
NetPPE,329459000.0
AccumulatedDepreciation,-1044000.0
GrossPPE,330503000.0
ConstructionInProgress,310805000.0
OtherProperties,5291000.0
MachineryFurnitureEquipment,4887000.0
Properties,9520000.0
CurrentAssets,324260000.0
PrepaidAssets,365000.0
Receivables,7048000.0
AccountsReceivable,7048000.0
CashCashEquivalentsAndShortTermInvestments,316847000.0
OtherShortTermInvestments,11409000.0
CashAndCashEquivalents,305438000.0
CashEquivalents,175000000.0
CashFinancial,130438000.0
