,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31
PreferredSharesNumber,1279000.0,1279000.0,1279000.0,1279000.0,1279000.0
OrdinarySharesNumber,924881000.0,923974000.0,923861000.0,923453000.0,923142000.0
ShareIssued,924881000.0,923974000.0,923861000.0,923453000.0,923142000.0
NetDebt,28470113000.0,26837356000.0,27598363000.0,24630841000.0,23597478000.0
TotalDebt,29598064000.0,27578197000.0,28129473000.0,25153342000.0,24514772000.0
TangibleBookValue,52107161000.0,53571883000.0,53401682000.0,52771270000.0,51990328000.0
InvestedCapital,82118277000.0,81150080000.0,81531155000.0,77924612000.0,77049295000.0
WorkingCapital,-1464390000.0,-395257000.0,-1064036000.0,-463694000.0,-2012506000.0
NetTangibleAssets,52171109000.0,53635831000.0,53465630000.0,52835218000.0,52054276000.0
CapitalLeaseObligations,597563000.0,,,,638811000.0
CommonStockEquity,53117776000.0,53571883000.0,53401682000.0,52771270000.0,53173334000.0
PreferredStockEquity,63948000.0,63948000.0,63948000.0,63948000.0,63948000.0
TotalCapitalization,81202912000.0,81001280000.0,80965591000.0,77776007000.0,75574782000.0
TotalEquityGrossMinorityInterest,57823720000.0,58260862000.0,58077824000.0,57465229000.0,57863093000.0
MinorityInterest,4641996000.0,4625031000.0,4612194000.0,4630011000.0,4625811000.0
StockholdersEquity,53181724000.0,53635831000.0,53465630000.0,52835218000.0,53237282000.0
GainsLossesNotAffectingRetainedEarnings,-514201000.0,-185783000.0,-332370000.0,-496424000.0,-443609000.0
OtherEquityAdjustments,-514201000.0,-185783000.0,-332370000.0,-496424000.0,-443609000.0
RetainedEarnings,-627068000.0,-449439000.0,-390779000.0,-799577000.0,-457695000.0
AdditionalPaidInCapital,54249801000.0,54197865000.0,54115592000.0,54058036000.0,54065407000.0
CapitalStock,73192000.0,73188000.0,73187000.0,73183000.0,73179000.0
CommonStock,9244000.0,9240000.0,9239000.0,9235000.0,9231000.0
PreferredStock,63948000.0,63948000.0,63948000.0,63948000.0,63948000.0
TotalLiabilitiesNetMinorityInterest,35197120000.0,33688547000.0,34314217000.0,31055655000.0,30034355000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,31937751000.0,31754691000.0,32102500000.0,29335354000.0,26334776000.0
OtherNonCurrentLiabilities,3224839000.0,4389242000.0,4602539000.0,4394565000.0,3351783000.0
DerivativeProductLiabilities,94161000.0,,,,6682000.0
LongTermDebtAndCapitalLeaseObligation,28618751000.0,27365449000.0,27499961000.0,24940789000.0,22976311000.0
LongTermCapitalLeaseObligation,597563000.0,,,,638811000.0
LongTermDebt,28021188000.0,27365449000.0,27499961000.0,24940789000.0,22337500000.0
CurrentLiabilities,3259369000.0,1933856000.0,2211717000.0,1720301000.0,3699579000.0
OtherCurrentLiabilities,14182000.0,,,,4536000.0
CurrentDeferredLiabilities,347369000.0,,,,329780000.0
CurrentDeferredRevenue,347369000.0,,,,329780000.0
CurrentDebtAndCapitalLeaseObligation,979313000.0,212748000.0,629512000.0,212553000.0,1538461000.0
CurrentDebt,979313000.0,212748000.0,629512000.0,212553000.0,1538461000.0
LineOfCredit,979313000.0,212748000.0,629512000.0,212553000.0,1538461000.0
PayablesAndAccruedExpenses,1918505000.0,1721108000.0,1582205000.0,1507748000.0,1826802000.0
Payables,1918505000.0,,,,1826802000.0
TotalTaxPayable,152487000.0,,,,114917000.0
IncomeTaxPayable,118682000.0,,,,99757000.0
AccountsPayable,1766018000.0,,,,1711885000.0
TotalAssets,93020840000.0,91949409000.0,92392041000.0,88520884000.0,87897448000.0
TotalNonCurrentAssets,91225861000.0,90410810000.0,91244360000.0,87264277000.0,86210375000.0
OtherNonCurrentAssets,1955899000.0,4736775000.0,4739886000.0,4706985000.0,1652865000.0
NonCurrentDeferredAssets,1231000.0,,,,5732000.0
NonCurrentDeferredTaxesAssets,1231000.0,,,,5732000.0
FinancialAssets,87319000.0,,,,227236000.0
InvestmentsAndAdvances,9543970000.0,9091824000.0,9931261000.0,9680097000.0,9698898000.0
LongTermEquityInvestment,9543970000.0,9091824000.0,9931261000.0,9680097000.0,9698898000.0
InvestmentProperties,77735090000.0,76582211000.0,76573213000.0,72877195000.0,72587311000.0
GoodwillAndOtherIntangibleAssets,1010615000.0,,,,1183006000.0
OtherIntangibleAssets,1010615000.0,,,,1183006000.0
NetPPE,891737000.0,,,,855327000.0
GrossPPE,891737000.0,,,,855327000.0
OtherProperties,891737000.0,,,,855327000.0
CurrentAssets,1794979000.0,1538599000.0,1147681000.0,1256607000.0,1687073000.0
AssetsHeldForSaleCurrent,461657000.0,797758000.0,616571000.0,734106000.0,531257000.0
PrepaidAssets,248597000.0,,,,239483000.0
Receivables,554337000.0,,,,637850000.0
TaxesReceivable,155909000.0,,,,143317000.0
NotesReceivable,72730000.0,,,,116537000.0
AccountsReceivable,325698000.0,,,,377996000.0
CashCashEquivalentsAndShortTermInvestments,530388000.0,740841000.0,531110000.0,522501000.0,278483000.0
CashAndCashEquivalents,530388000.0,740841000.0,531110000.0,522501000.0,278483000.0
