,2023-06-30,2023-03-31,2022-12-31
OrdinarySharesNumber,10395805.0,10005379.0,9862030.0
ShareIssued,10395805.0,10005379.0,9862030.0
NetDebt,7741345.0,8557006.0,4198449.0
TotalDebt,8262721.0,9754197.0,6600407.0
TangibleBookValue,-8074914.0,-5339555.0,1145503.0
InvestedCapital,81079.0,4256205.0,7536819.0
WorkingCapital,-9877803.0,-7392883.0,-676762.0
NetTangibleAssets,-8074814.0,-5336728.0,1148830.0
CapitalLeaseObligations,106728.0,158437.0,209091.0
CommonStockEquity,-8074914.0,-5339555.0,1145503.0
PreferredStockEquity,100.0,2827.0,3327.0
TotalCapitalization,-8074814.0,-5336728.0,1148830.0
TotalEquityGrossMinorityInterest,-8074814.0,-5336728.0,1148830.0
StockholdersEquity,-8074814.0,-5336728.0,1148830.0
OtherEquityInterest,-8010.0,-76898.0,-193847.0
RetainedEarnings,-139989904.0,-137078578.0,-129410274.0
AdditionalPaidInCapital,131904595.0,131805916.0,130601692.0
CapitalStock,10495.0,12832.0,151259.0
CommonStock,10395.0,10005.0,147932.0
PreferredStock,100.0,2827.0,3327.0
TotalLiabilitiesNetMinorityInterest,23278747.0,23366831.0,22935252.0
TotalNonCurrentLiabilitiesNetMinorityInterest,16812.0,22223.0,32840.0
LongTermDebtAndCapitalLeaseObligation,16812.0,22223.0,32840.0
LongTermCapitalLeaseObligation,16812.0,22223.0,32840.0
CurrentLiabilities,23261935.0,23344608.0,22902412.0
CurrentDebtAndCapitalLeaseObligation,8245909.0,9731974.0,6567567.0
CurrentCapitalLeaseObligation,89916.0,136214.0,176251.0
CurrentDebt,8155993.0,9595760.0,6391316.0
LineOfCredit,6188332.0,6403447.0,6391316.0
CurrentNotesPayable,1967661.0,3192313.0,
PayablesAndAccruedExpenses,15016026.0,13612634.0,16334845.0
CurrentAccruedExpenses,2406839.0,1996387.0,2225366.0
Payables,12609187.0,11616247.0,14109479.0
AccountsPayable,12609187.0,11616247.0,14109479.0
TotalAssets,15203933.0,18030103.0,24084082.0
TotalNonCurrentAssets,1819801.0,2078378.0,1858432.0
NetPPE,1819801.0,2078378.0,1858432.0
AccumulatedDepreciation,-4774600.0,-4521085.0,-4231108.0
GrossPPE,6594401.0,6599463.0,6089540.0
Leases,,,29862.0
OtherProperties,15184.0,20246.0,
MachineryFurnitureEquipment,6579217.0,6579217.0,6059678.0
Properties,,,0.0
CurrentAssets,13384132.0,15951725.0,22225650.0
OtherCurrentAssets,80289.0,122114.0,159384.0
PrepaidAssets,2285188.0,2679274.0,2361399.0
Inventory,5544390.0,5591351.0,8737717.0
FinishedGoods,2138781.0,1930207.0,3594005.0
RawMaterials,3405609.0,3661144.0,5143712.0
Receivables,5059617.0,6520232.0,8774283.0
AccountsReceivable,5059617.0,6520232.0,8774283.0
AllowanceForDoubtfulAccountsReceivable,-1255000.0,-1255000.0,-640000.0
GrossAccountsReceivable,6314617.0,7775232.0,9414283.0
CashCashEquivalentsAndShortTermInvestments,414648.0,1038754.0,2192867.0
CashAndCashEquivalents,414648.0,1038754.0,2192867.0
CashFinancial,414648.0,1038754.0,2192867.0
