,2023-08-31
NetDebt,82272.0
TotalDebt,84574.0
TangibleBookValue,-102087.0
InvestedCapital,5159487.0
WorkingCapital,-102057.0
NetTangibleAssets,-102057.0
CommonStockEquity,5074913.0
PreferredStockEquity,30.0
TotalCapitalization,5074943.0
TotalEquityGrossMinorityInterest,5074943.0
StockholdersEquity,5074943.0
RetainedEarnings,-85237932.0
AdditionalPaidInCapital,90312361.0
CapitalStock,514.0
CommonStock,484.0
PreferredStock,30.0
TotalLiabilitiesNetMinorityInterest,128858.0
TotalNonCurrentLiabilitiesNetMinorityInterest,0.0
CurrentLiabilities,128858.0
CurrentDebtAndCapitalLeaseObligation,84574.0
CurrentDebt,84574.0
OtherCurrentBorrowings,9115.0
CurrentNotesPayable,75459.0
PayablesAndAccruedExpenses,44284.0
Payables,44284.0
DuetoRelatedPartiesCurrent,16967.0
AccountsPayable,27317.0
TotalAssets,5203801.0
TotalNonCurrentAssets,5177000.0
NonCurrentNoteReceivables,0.0
GoodwillAndOtherIntangibleAssets,5177000.0
CurrentAssets,26801.0
Receivables,24499.0
AccountsReceivable,24499.0
CashCashEquivalentsAndShortTermInvestments,2302.0
CashAndCashEquivalents,2302.0
CashFinancial,2302.0
