,2023-06-30,2023-03-31,2022-12-31
OrdinarySharesNumber,1576783694.0,1082007694.0,931962000.0
ShareIssued,1576783694.0,1082007694.0,931962000.0
NetDebt,,,95248000.0
TotalDebt,2284000.0,6994000.0,122691000.0
TangibleBookValue,-2122000.0,-3597000.0,-114026000.0
InvestedCapital,3471000.0,2004000.0,66816000.0
WorkingCapital,-1141000.0,-1922000.0,-111554000.0
NetTangibleAssets,-2122000.0,-3597000.0,-114026000.0
CapitalLeaseObligations,2284000.0,6994000.0,7475000.0
CommonStockEquity,3471000.0,2004000.0,-48400000.0
TotalCapitalization,3471000.0,2004000.0,-48400000.0
TotalEquityGrossMinorityInterest,3471000.0,2004000.0,-48400000.0
StockholdersEquity,3471000.0,2004000.0,-48400000.0
RetainedEarnings,-382009000.0,-383475000.0,-433860000.0
AdditionalPaidInCapital,380860000.0,382634000.0,382625000.0
CapitalStock,4620000.0,2845000.0,2835000.0
CommonStock,4620000.0,2845000.0,2835000.0
TotalLiabilitiesNetMinorityInterest,31566000.0,56830000.0,207270000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,3379000.0,8392000.0,9816000.0
OtherNonCurrentLiabilities,750000.0,750000.0,750000.0
DerivativeProductLiabilities,1635000.0,1627000.0,2623000.0
TradeandOtherPayablesNonCurrent,,,0.0
LongTermDebtAndCapitalLeaseObligation,994000.0,6015000.0,6443000.0
LongTermCapitalLeaseObligation,994000.0,6015000.0,6443000.0
CurrentLiabilities,28187000.0,48438000.0,197454000.0
OtherCurrentLiabilities,16384000.0,43093000.0,47984000.0
CurrentDebtAndCapitalLeaseObligation,1290000.0,979000.0,116248000.0
CurrentCapitalLeaseObligation,1290000.0,979000.0,1032000.0
CurrentDebt,,,115216000.0
OtherCurrentBorrowings,,,115216000.0
PensionandOtherPostRetirementBenefitPlansCurrent,,,1667000.0
PayablesAndAccruedExpenses,10513000.0,4366000.0,31555000.0
CurrentAccruedExpenses,7401000.0,,16168000.0
Payables,3112000.0,4366000.0,15387000.0
OtherPayable,,,11157000.0
AccountsPayable,3112000.0,4366000.0,4230000.0
TotalAssets,35037000.0,58834000.0,158870000.0
TotalNonCurrentAssets,7991000.0,12318000.0,72970000.0
OtherNonCurrentAssets,144000.0,146000.0,150000.0
GoodwillAndOtherIntangibleAssets,5593000.0,5601000.0,65626000.0
OtherIntangibleAssets,,,65626000.0
NetPPE,2254000.0,6571000.0,7194000.0
AccumulatedDepreciation,,,-1076000.0
GrossPPE,2254000.0,6571000.0,8270000.0
Leases,,,379000.0
OtherProperties,2254000.0,6571000.0,5630000.0
MachineryFurnitureEquipment,,,2261000.0
Properties,,,0.0
CurrentAssets,27046000.0,46516000.0,85900000.0
RestrictedCash,9140000.0,11047000.0,16000000.0
PrepaidAssets,,,3556000.0
Inventory,4939000.0,5859000.0,11009000.0
FinishedGoods,,,6827000.0
WorkInProcess,,,2385000.0
RawMaterials,,,1797000.0
Receivables,5953000.0,12024000.0,35352000.0
OtherReceivables,3050000.0,5170000.0,831000.0
AccountsReceivable,2903000.0,6854000.0,34521000.0
CashCashEquivalentsAndShortTermInvestments,7014000.0,17586000.0,19983000.0
OtherShortTermInvestments,18000.0,15000.0,15000.0
CashAndCashEquivalents,6996000.0,17571000.0,19968000.0
CashEquivalents,,,6645000.0
CashFinancial,,,13323000.0
