,2023-06-30
OrdinarySharesNumber,3946104920.0
ShareIssued,3946104920.0
TotalDebt,7319.0
TangibleBookValue,38269054.0
InvestedCapital,43698641.0
WorkingCapital,12412865.0
NetTangibleAssets,38269054.0
CapitalLeaseObligations,7319.0
CommonStockEquity,43698641.0
TotalCapitalization,43698641.0
TotalEquityGrossMinorityInterest,43698641.0
StockholdersEquity,43698641.0
GainsLossesNotAffectingRetainedEarnings,11345677.0
OtherEquityAdjustments,9313061.0
ForeignCurrencyTranslationAdjustments,2032616.0
RetainedEarnings,-46115998.0
CapitalStock,78468962.0
OtherCapitalStock,136403.0
CommonStock,78332559.0
TotalLiabilitiesNetMinorityInterest,824860.0
TotalNonCurrentLiabilitiesNetMinorityInterest,0.0
CurrentLiabilities,824860.0
CurrentDebtAndCapitalLeaseObligation,7319.0
CurrentCapitalLeaseObligation,7319.0
PayablesAndAccruedExpenses,817541.0
Payables,817541.0
AccountsPayable,817541.0
TotalAssets,44523501.0
TotalNonCurrentAssets,31285776.0
InvestmentsAndAdvances,21926992.0
LongTermEquityInvestment,21926992.0
InvestmentsinAssociatesatCost,21926992.0
GoodwillAndOtherIntangibleAssets,5429587.0
OtherIntangibleAssets,5429587.0
NetPPE,3929197.0
AccumulatedDepreciation,-433322.0
GrossPPE,4362519.0
OtherProperties,1633451.0
MachineryFurnitureEquipment,2729068.0
CurrentAssets,13237725.0
OtherCurrentAssets,224471.0
Inventory,793810.0
Receivables,1102795.0
OtherReceivables,1102795.0
CashCashEquivalentsAndShortTermInvestments,11116649.0
CashAndCashEquivalents,11116649.0
CashEquivalents,181359.0
CashFinancial,10935290.0
