,2022-12-31
OrdinarySharesNumber,35140866.0
ShareIssued,35140866.0
NetDebt,5958895.0
TotalDebt,6000000.0
TangibleBookValue,-1794835.0
InvestedCapital,4243804.0
WorkingCapital,-6047103.0
NetTangibleAssets,-1794835.0
CommonStockEquity,-1756196.0
TotalCapitalization,-1756196.0
TotalEquityGrossMinorityInterest,-1756196.0
StockholdersEquity,-1756196.0
GainsLossesNotAffectingRetainedEarnings,5513231.0
RetainedEarnings,-39645435.0
CapitalStock,32376008.0
CommonStock,32376008.0
TotalLiabilitiesNetMinorityInterest,6812375.0
TotalNonCurrentLiabilitiesNetMinorityInterest,63000.0
NonCurrentDeferredLiabilities,63000.0
NonCurrentDeferredTaxesLiabilities,63000.0
CurrentLiabilities,6749375.0
CurrentDebtAndCapitalLeaseObligation,6000000.0
CurrentDebt,6000000.0
LineOfCredit,6000000.0
PayablesAndAccruedExpenses,749375.0
TotalAssets,5056179.0
TotalNonCurrentAssets,4353907.0
GoodwillAndOtherIntangibleAssets,38639.0
OtherIntangibleAssets,38639.0
NetPPE,4315268.0
AccumulatedDepreciation,-419575.0
GrossPPE,4734843.0
Leases,95676.0
OtherProperties,86733.0
MachineryFurnitureEquipment,5895.0
BuildingsAndImprovements,3885521.0
LandAndImprovements,661017.0
Properties,0.0
CurrentAssets,702272.0
AssetsHeldForSaleCurrent,514030.0
PrepaidAssets,136137.0
Receivables,11000.0
OtherReceivables,11000.0
TaxesReceivable,0.0
CashCashEquivalentsAndShortTermInvestments,41105.0
CashAndCashEquivalents,41105.0
