,2023-10-31,2023-01-31
OrdinarySharesNumber,147847292.0,122051292.0
ShareIssued,147847292.0,122051292.0
TotalDebt,,37870.0
TangibleBookValue,-245044.0,-599097.0
InvestedCapital,105216.0,-115519.0
WorkingCapital,-349318.0,-733644.0
NetTangibleAssets,-245044.0,-599097.0
CommonStockEquity,105216.0,-153389.0
TotalCapitalization,105216.0,-153389.0
TotalEquityGrossMinorityInterest,105216.0,-153389.0
StockholdersEquity,105216.0,-153389.0
OtherEquityInterest,2202793.0,1673033.0
RetainedEarnings,-9703491.0,-8082946.0
CapitalStock,7605914.0,6256524.0
CommonStock,7605914.0,6256524.0
TotalLiabilitiesNetMinorityInterest,472216.0,871124.0
TotalNonCurrentLiabilitiesNetMinorityInterest,0.0,0.0
CurrentLiabilities,472216.0,871124.0
CurrentDeferredLiabilities,,0.0
CurrentDeferredRevenue,,0.0
CurrentDebtAndCapitalLeaseObligation,,37870.0
CurrentDebt,,37870.0
CurrentNotesPayable,0.0,37870.0
PayablesAndAccruedExpenses,472216.0,833254.0
TotalAssets,577432.0,717735.0
TotalNonCurrentAssets,454534.0,580255.0
GoodwillAndOtherIntangibleAssets,350260.0,445708.0
OtherIntangibleAssets,350260.0,445708.0
NetPPE,104274.0,134547.0
AccumulatedDepreciation,-88676.0,-58403.0
GrossPPE,192950.0,192950.0
OtherProperties,192950.0,192950.0
CurrentAssets,122898.0,137480.0
PrepaidAssets,24719.0,19742.0
Receivables,53749.0,38488.0
DuefromRelatedPartiesCurrent,5961.0,
TaxesReceivable,45988.0,25982.0
AccountsReceivable,1800.0,12506.0
CashCashEquivalentsAndShortTermInvestments,44430.0,79250.0
CashAndCashEquivalents,44430.0,79250.0
